,Gene A,Gene B,Correlation
1073,INTS1,SMARCC2,0.8490092675994168
7252,NELFE,BAF180,0.8489725585394757
10583,CREBBP,AFF4,0.848959016385501
7426,SMARCE1,SETD1B,0.8489318852504588
3888,ATXN7,ELOA,0.8489065420129324
1068,INTS1,RBBP5,0.8488720569481079
3701,WDR5,BAF250B,0.8487690500660503
18178,KMT2A,NELFB,0.8487568959585682
1918,ERCC3,POLR2B,0.8487221323692211
17761,NCOA3,ELL,0.8487090009520906
5169,WDR61,BRD9,0.8486498970808404
2304,PAF1,KAT6A,0.8486428300882208
17941,KMT2D,ELL,0.8486412955965524
2660,SUPT6H,CXXC1,0.8486353809375373
25896,AFF4,MED24,0.8485822576969794
15607,MED30,UBE2A,0.8485754774410305
10206,CDC73,BAF53A,0.8485554776624215
939,INTS1,INTS8,0.8485477788878517
2317,PAF1,MED15,0.848539213566234
4174,SSRP1,TAF6L,0.8485345768310381
11949,MED7,SUPT3H,0.8485304614724083
5796,SGF29,MED12,0.8485145642756482
4315,SSRP1,MED16,0.8484758843675967
27696,SUPT16H,MED24,0.848408882800099
27891,SUPT5H,MAZ,0.8483713097959029
27340,CDK13,CDK9,0.8483119899023063
1844,ERCC3,SUPT20H,0.8483052919380407
14725,INTS9,MED11,0.8482551825831266
5377,POLR2C,MED15,0.8482351796720817
1690,NELFA,HUWE1,0.8481608276663718
15268,POLR2H,MED13,0.848148029769998
18159,KMT2A,EP300,0.848087560472986
2185,PAF1,MED8,0.8480841603546742
11967,MED7,KAT6B,0.8479990680292687
6184,TAF6L,SMARCAD1,0.8479507646443332
2753,NCOA6,SMARCA4,0.8479233522723769
15219,POLR2H,KMT2D,0.8479161027942558
3377,KAT5,MLLT10,0.847913533340883
2361,SF3B3,ATXN7,0.8479090009418241
5336,POLR2C,CCNT1,0.8478880805954441
3569,GTF2H1,GTF2E2,0.8478559180485642
5438,DOT1L,MED17,0.8478508328336342
409,SMARCB1,CCNT2,0.8478427173480463
1066,INTS1,ASH2L,0.8478408213417512
15603,MED30,MED26,0.8478352690947858
13607,ENY2,MED13L,0.8478316321267807
3362,KAT5,MED27,0.8478097037202187
4540,MED8,NELFE,0.847771763854585
3898,ATXN7,POLR2B,0.84774939920824
11867,BAF60A,MED4,0.8477313662340584
2850,NCOA6,VPS72,0.847662906061056
3235,CTR9,MED16,0.8476286614207372
17784,NCOA3,KAT6A,0.847566729081067
13416,CDK12,MED28,0.8475643101142097
7085,INTS8,BAF60A,0.8475184264945855
12933,TAF5L,SUPT16H,0.8474732370545701
1645,NELFA,MED8,0.8474529613450864
15617,MED30,MLLT10,0.8474500742328549
2545,SUPT6H,MED8,0.847439004219435
5985,DMAP1,ARID4B,0.8474170550286734
12500,SUPT3H,EP400,0.8474039230970419
13233,BAF45D,BCL7C,0.8473425045101993
26797,MED13,MED15,0.8472390560321048
9455,BAF180,MED1,0.847141271576013
5074,WDR61,TAF6L,0.8471206290805918
12747,HUWE1,MED23,0.847090009275597
14670,INTS9,CCNK,0.8469193372160223
1428,WDR82,RBBP5,0.8468680853197298
8772,INTS12,AFF1,0.8468645448927806
17963,KMT2D,AFF4,0.8468644827914258
15795,KAT6B,MED14,0.8468479349459124
3354,KAT5,TRRAP,0.8467800861568804
13434,CDK12,TRRAP,0.8467515655687936
14139,TADA2B,KMT2D,0.8467364776497937
5881,SGF29,ELL,0.8465925140269654
10880,RUVBL2,EP400,0.846490098252598
3126,CTR9,MED7,0.8464759229413269
24801,MLLT10,SUPT7L,0.8464724031049994
6020,DMAP1,EP400,0.8464611486727446
3917,ATXN7,MLLT10,0.8464497748420361
8000,SUPT20H,EP400,0.8464345048014037
3496,GTF2H1,INTS5,0.8463856137560356
8055,SUPT20H,MED14,0.8463616765092136
7006,MED17,ASH2L,0.8463454494279861
18143,KMT2A,AFF4,0.8463296495643591
19374,MED13L,TRRAP,0.8463232701915285
26628,MED23,RBBP5,0.8463159975253569
11807,BAF60A,MED13L,0.8463155130085576
18666,MED20,BAF53A,0.8463044828750389
25173,GTF2A2,SUPT16H,0.8462740403541751
12017,MED7,MLLT10,0.8462609178143231
8069,SUPT20H,GTF2E2,0.8462469436468917
3559,GTF2H1,GTF2A2,0.8462421533600327
2310,PAF1,VPS72,0.8462187944679699
1786,NELFA,ASH2L,0.8462142870464532
8351,SETD1B,TAF5L,0.8461262848444712
27884,SUPT5H,ARID4A,0.8461135299495465
23194,MED6,SUPT5H,0.8460827531766123
12021,MED7,SUPT7L,0.8459453552397411
12131,TRIM28,TAF5L,0.8459441165637546
5444,DOT1L,SUPT20H,0.8459331646493972
16868,BCL7C,MED6,0.8459146591660263
16724,KAT8,ARID4A,0.8459127395339174
11879,BAF60A,POLR2G,0.8458823339163071
17022,MED10,SMARCA5,0.845853506730357
17240,MED1,CXXC1,0.8458502022935461
2261,PAF1,BAF250B,0.8458400408821569
18717,MED20,SF3B5,0.8458396379412292
15207,POLR2H,KAT6B,0.8458373879996274
11870,BAF60A,GTF2F1,0.8458102339849791
13594,ENY2,MED10,0.845797102509427
18494,SMARCA5,MED21,0.8457330102819176
2570,SUPT6H,INO80B,0.8457100195921835
1095,INTS10,NCOA6,0.8456753483716738
15807,KAT6B,MED23,0.8456394298564579
7470,SMARCE1,CCNK,0.8455887670000118
13056,CHD1,MED28,0.8455180483544975
13124,CHD1,ARID4A,0.8454837492999596
8562,MED22,SMARCA5,0.8454709875123002
16893,BCL7C,SUPT16H,0.8454697259969612
16862,BCL7C,MED27,0.8454397607850356
15255,POLR2H,MED14,0.8454208201390304
1181,INTS10,BAF250B,0.8454051066881606
1114,INTS10,TAF6L,0.845355297258731
8588,MED22,MED6,0.8453420033719363
8152,ARID4B,BAF180,0.8452984279956671
16345,CCNK,MED11,0.8451672678251462
2333,PAF1,SMARCC2,0.8451672536944834
8574,MED22,TRRAP,0.8451566365084696
8701,INTS12,SMARCC1,0.8451493508854895
12371,RUVBL1,TAF12,0.845126122860706
2641,SUPT6H,ELL,0.8451184066650753
9330,GTF2A1,VPS72,0.8451159134289002
17451,MED28,MAZ,0.8450061669887757
4082,BCL7B,MED27,0.8449763800334199
18707,MED20,MED4,0.844941739965118
15623,MED30,AFF4,0.8449349040360218
3195,CTR9,MED14,0.844928607207549
8420,SETD1B,CXXC1,0.8448385571407625
6525,MED12,ARID4B,0.8447883216163552
13220,BAF45D,EP400,0.8447873017036099
23350,BRD9,GTF2E1,0.8447785169133271
8364,SETD1B,POLR2H,0.844775316658434
16700,KAT8,CXXC1,0.8447359301539132
17458,MED28,NELFB,0.8446463605574552
8698,INTS12,CREBBP,0.8446430326049726
8540,MED22,EP400,0.8446371264031333
8620,MED22,CDK9,0.8446058070588194
1866,ERCC3,MED7,0.8445872866911885
30238,MED4,NELFB,0.844579727195734
8223,ARID4B,MED26,0.8445703909241813
25902,AFF4,EPC1,0.8445259178188906
2370,SF3B3,DOT1L,0.8445138160546648
18654,MED20,TRRAP,0.8445105279140558
5467,DOT1L,TRIM28,0.8445095787691543
3150,CTR9,CCNK,0.8444939537275428
6911,MED17,TAF5L,0.8444826078158902
6996,MED17,MED24,0.8444798016921364
9462,BAF180,SMARCA5,0.844469534716909
8935,CCNT2,INTS2,0.844440669534861
23360,BRD9,CXXC1,0.8444277847252623
16375,CCNK,MED16,0.8443885403735739
9857,BPTF,MLLT10,0.8443875465016056
14849,BAF45B,BAF53B,0.8443410251507114
4302,SSRP1,EPC1,0.844339518491468
1279,WDR82,GTF2H1,0.844329441859048
1787,NELFA,MED4,0.8443019293644032
6040,DMAP1,KMT2A,0.8442466806535112
25544,SUPT7L,ARID4A,0.8441631618599424
456,SMARCB1,MED28,0.8441557893139523
4981,SMARCD2,ELL,0.8440735866461578
2328,PAF1,RBBP5,0.844032928673445
14571,EP400,MAZ,0.8440276435109104
3561,GTF2H1,SUPT7L,0.8440218516855009
7068,INTS8,INTS12,0.8440192701582102
15619,MED30,GTF2A2,0.8440189462124473
6896,MED17,CDC73,0.8440042025223726
8366,SETD1B,MED30,0.8439580929984088
10909,RUVBL2,POLR2D,0.843944246083286
11657,SMARCAD1,MLLT10,0.8439097646317184
2574,SUPT6H,BPTF,0.843900301726519
13612,ENY2,CCNH,0.8438939382731618
5291,POLR2C,TAF5L,0.8438921065958045
3629,WDR5,POLR2C,0.8438641264629675
1103,INTS10,SSRP1,0.8438512465020267
5307,POLR2C,KAT6B,0.8438453524414502
17214,MED1,TRRAP,0.8438382397328911
12015,MED7,MED14,0.843781156530939
8435,SETD1B,INTS4,0.8437756305753061
3327,KAT5,KAT6B,0.8436749313025992
9159,INO80B,EP300,0.8436290924898032
12888,TAF5L,ELOA,0.8435586324948491
4734,BRM,BPTF,0.8435468915793173
13227,BAF45D,KAT6B,0.8435429269557535
4205,SSRP1,BAF60A,0.8435219622338717
7316,NELFE,CCNT1,0.8435188039967425
6615,MED12,MED14,0.8435025915681715
3140,CTR9,EP400,0.8434906053533684
15253,POLR2H,KMT2B,0.8434903356826035
11096,SMARCC1,CCNT1,0.8434364915806923
17229,MED1,BRD9,0.843418787982568
1907,ERCC3,MED13L,0.8433851074423772
19595,ELOA,INTS4,0.843377684156087
22269,MED26,BRD9,0.8433758512408304
18303,BAF250B,MED26,0.8433518018954058
913,INTS1,SF3B3,0.8433163681457042
1340,WDR82,EP400,0.8433090461594904
24088,KMT2B,MED13,0.8433012111627621
9859,BPTF,GTF2A2,0.8432109065529937
18473,SMARCA5,BAF45A,0.8431842411208468
5858,SGF29,NCOA3,0.8431825206601826
18335,BAF250B,INTS4,0.8431506618722023
3821,ATXN7,SMARCE1,0.8431261790449055
7355,NELFE,INTS4,0.8431121043831781
18482,SMARCA5,MED27,0.8430197821178322
30413,RBBP5,SMARCC2,0.8429499935897643
15753,KAT6B,BCL7C,0.8429495031237613
12045,MED7,ARID1A,0.8428750168482131
27355,CDK13,MED16,0.8428282895610338
430,SMARCB1,HUWE1,0.8427519756707326
3920,ATXN7,CXXC1,0.8427018459860754
11047,SMARCC1,TRIM28,0.8427006640892909
27519,NELFCD,EP300,0.8426638603071547
18171,KMT2A,MAZ,0.8426507598710807
1205,INTS10,ARID2,0.8426407312294206
4625,MED8,ARID2,0.8426087530641411
30958,MAZ,NELFB,0.8426079667773033
15778,KAT6B,POLR2B,0.8425801065166488
8215,ARID4B,INTS2,0.8425692881077529
16856,BCL7C,CCNT1,0.8424671414438564
5269,POLR2C,CCNT2,0.8424286803085448
14664,INTS9,POLR2H,0.842409425320883
7149,INTS8,BRD9,0.8423931403216668
4308,SSRP1,RBBP5,0.8423696454474574
3711,WDR5,LEO1,0.8423551738410612
26633,MED23,SMARCC2,0.8423410626930734
6601,MED12,ELL,0.8422984871717352
1113,INTS10,DMAP1,0.8422538115622579
2560,SUPT6H,NELFE,0.8422064481667002
1245,INTS10,ARID1A,0.8422017265661983
4550,MED8,INO80B,0.8421991322396942
5474,DOT1L,CDK12,0.8421471451448824
6521,MED12,SMARCE1,0.8421463667194491
12535,SUPT3H,INTS2,0.8421291976854619
1925,ERCC3,ARID2,0.8421046530613299
11996,MED7,CCNT1,0.8420734490365154
6625,MED12,MED11,0.842054527569454
10953,RUVBL2,SUPT16H,0.8420469916404023
15659,MED30,POLR2G,0.8420142488846514
25895,AFF4,INTS4,0.8420085798451797
8938,CCNT2,POLR2B,0.8419165309477944
8993,CCNT2,SMARCC2,0.8419147210809359
19566,ELOA,BAF53A,0.8418969594907787
17923,KMT2D,MED20,0.8418393725576356
12028,MED7,MED13,0.841831223753633
2669,SUPT6H,GTF2E2,0.8418183445562942
3096,CTR9,MED12,0.8417454968762125
6594,MED12,TRRAP,0.8417287736815132
24647,SS18,MED4,0.8416720470799264
18332,BAF250B,NELFCD,0.8416633671504682
8381,SETD1B,BAF250B,0.8416531217813021
4892,SMARCD2,SGF29,0.8416511356248084
6162,TAF6L,CCNC,0.8416194234136608
8639,MED22,POLR2G,0.8415737733590262
1791,NELFA,MAZ,0.8415267529286925
7065,INTS8,ARID4B,0.8414636605399167
9860,BPTF,CXXC1,0.8413687275743565
5008,SMARCD2,MED13,0.8413343841316876
4206,SSRP1,MED7,0.8412297633218105
3687,WDR5,KAT6B,0.8412294390628569
8730,INTS12,CCNK,0.8411335890893488
3700,WDR5,KMT2A,0.8411167056392372
1427,WDR82,MED4,0.8410429936298394
2179,PAF1,GTF2H1,0.8410428597449364
2130,NCOA1,VPS72,0.8410244789331666
18283,BAF250B,MED20,0.8410035834591889
13638,ENY2,MNAT1,0.8409996237372502
13267,BAF45D,UBE2A,0.8409919252896845
1847,ERCC3,MED22,0.8409460540615846
2371,SF3B3,INTS7,0.8409265433876956
2726,NCOA6,BRM,0.8408795517425288
4596,MED8,MED28,0.8408645790814586
14713,INTS9,KMT2B,0.8408305750073127
9099,INO80B,KMT2D,0.8408203563366301
8012,SUPT20H,KAT8,0.8408077791264177
1330,WDR82,HUWE1,0.8407757239771715
4221,SSRP1,INTS9,0.8407677442386104
8968,CCNT2,MED13,0.8407539667828421
1025,INTS1,ARID2,0.840748389223992
20668,TRRAP,MED13,0.8407133712471295
6267,TAF6L,MED23,0.8406760110642665
3411,KAT5,MAZ,0.8406303304279151
5035,SMARCD2,MED16,0.8406224118937586
4201,SSRP1,SMARCC1,0.8406149250732252
10182,CDC73,SMARCA5,0.8405958457186086
11073,SMARCC1,BCL7C,0.8405576055601724
3104,CTR9,SUPT20H,0.8405360560164604
14729,INTS9,GTF2E2,0.8404377363981751
18137,KMT2A,MLLT10,0.8404143041820344
6445,MED18,MED11,0.8404044490894549
3810,ATXN7,DOT1L,0.8404029247712452
16296,CCNK,MED28,0.8403934878869228
25353,CXXC1,SUPT16H,0.8403887670178357
27178,VPS72,NELFB,0.8403574708841697
3494,GTF2H1,CDK12,0.8403550611738982
1884,ERCC3,POLR2H,0.8403363079721016
24809,MLLT10,GTF2E2,0.8402317208682392
1272,WDR82,PAF1,0.8401984736964047
3189,CTR9,BRD9,0.8401825395595892
13618,ENY2,POLR2B,0.8401780657492702
7712,CCNC,NELFCD,0.8401437871661183
2388,SF3B3,INTS12,0.8401212983798503
14530,EP400,GTF2E1,0.8401144998313066
14731,INTS9,CDK13,0.8400841717680981
7151,INTS8,TAF12,0.8400789881402428
9870,BPTF,VPS72,0.8399698216350293
5004,SMARCD2,KAT6A,0.8398891158007831
23213,MED6,SMARCC2,0.8398626991672263
13091,CHD1,TAF12,0.8398172474162174
18152,KMT2A,NELFCD,0.8398052234973371
8266,ARID4B,ASH2L,0.839713423862292
22308,MED26,RBBP5,0.8397116007782821
13659,ENY2,EP300,0.8396923745401984
13135,CHD1,MED16,0.8396808939035608
20854,INTS2,SUPT5H,0.8396728373829065
526,SMARCB1,ASH2L,0.839669362017743
9718,SMARCA4,NELFB,0.8396572289501157
23008,UBE2A,MED13,0.8396420022155271
5708,INTS7,MED6,0.8395886068693065
24089,KMT2B,GTF2E2,0.8395864399190034
1654,NELFA,TAF6L,0.8395289472159796
3460,GTF2H1,NELFE,0.8395193042903271
1753,NELFA,KMT2B,0.8395181448441743
27520,NELFCD,CDK9,0.8394963152058549
3708,WDR5,ELOA,0.8394897385378223
7512,SMARCE1,AFF1,0.8394821921118112
3584,GTF2H1,ARID4A,0.8394141971554828
19368,MED13L,ELOA,0.8394046050048937
5343,POLR2C,MED26,0.8393959579740531
5089,WDR61,CCNT2,0.8393772747352258
11816,BAF60A,CCNT1,0.8393367896133519
4549,MED8,CCNT2,0.8393085249382753
2324,PAF1,ARID4A,0.8392995536589297
1834,ERCC3,TAF6L,0.8392928883871779
5757,INTS7,SF3B5,0.8391747777364705
1108,INTS10,WDR61,0.8391219879870285
7269,NELFE,SUPT3H,0.8390385633423016
6942,MED17,SMARCA5,0.8390107369512786
7510,SMARCE1,GTF2E1,0.838951633146782
2188,PAF1,WDR61,0.8389184435749371
10875,RUVBL2,ENY2,0.8389109288360151
1289,WDR82,POLR2C,0.8388635496605469
21370,POLR2B,GTF2E1,0.8388567643923842
11595,SMARCAD1,ENY2,0.8388324471393463
13584,ENY2,POLR2H,0.8388195125311678
27527,NELFCD,MED4,0.8388192244670019
12707,HUWE1,MED13L,0.8388068385982203
15633,MED30,SUPT16H,0.8387431879109227
27533,NELFCD,SMARCC2,0.8387303263012441
7163,INTS8,AFF4,0.8387155407580644
11690,SMARCAD1,GTF2F1,0.8386657051052199
8378,SETD1B,NCOA3,0.8386587853409392
8597,MED22,MLLT10,0.8386518924043022
3467,GTF2H1,MED22,0.8386496050826335
2218,PAF1,CREBBP,0.8385653002020932
16891,BCL7C,CDK13,0.8385502204689529
1634,NELFA,SUPT6H,0.8385164514779907
15822,KAT6B,EPC1,0.8385082106059424
9309,GTF2A1,BRD9,0.8385012082840677
6955,MED17,INTS2,0.8385012059282806
1632,NELFA,PAF1,0.8384915274709552
2835,NCOA6,MED14,0.8384693648609428
4909,SMARCD2,CCNT2,0.838435569221278
1052,INTS1,NELFCD,0.8383816067411772
2728,NCOA6,WDR61,0.8383600800476858
22811,BAF53A,TAF12,0.8383457492550198
20874,INTS2,USP22,0.8383061553235361
13473,CDK12,SUPT16H,0.8382667570588345
13616,ENY2,CCNT1,0.8382580384198852
2470,SF3B3,GTF2E1,0.8382053335325429
12037,MED7,MED15,0.8381896319759045
18128,KMT2A,MED6,0.8381859145814269
13265,BAF45D,ARID2,0.838176824609964
29687,ARID4A,MED4,0.8381432342570081
8894,CCNT2,CDK12,0.8381414174662627
15788,KAT6B,MED6,0.8381343314075379
10511,CREBBP,TAF5L,0.8381250850303155
20680,TRRAP,CDK9,0.8381178437417693
3099,CTR9,INTS8,0.8381053969895984
16308,CCNK,ELOA,0.8380438075439965
9594,SMARCA4,BPTF,0.8380396821909972
12573,SUPT3H,SUPT16H,0.8380372642913176
9260,GTF2A1,EP400,0.8380306417464317
11830,BAF60A,GTF2E1,0.8380257706644991
23181,MED6,SUPT7L,0.8379975739230582
20669,TRRAP,GTF2E2,0.8379863637675249
18693,MED20,SUPT16H,0.8379752554563881
6169,TAF6L,CCNT2,0.8379718038173106
8216,ARID4B,CCNT1,0.8379543138487335
6930,MED17,CCNK,0.837915483111301
28247,MED24,MED4,0.8379055135248143
4185,SSRP1,ARID4B,0.8378933777401569
3506,GTF2H1,MED30,0.8378890804613326
13666,ENY2,ASH2L,0.8377905774544272
1239,INTS10,EP300,0.837730719239581
14173,TADA2B,KMT2B,0.8377244246284533
1664,NELFA,SUPT20H,0.8377086153885986
2435,SF3B3,MED1,0.8377082731437374
24457,MED14,MED15,0.8377008505218458
620,KAT2A,EP400,0.837700090762784
5176,WDR61,SS18,0.8376890147822904
4567,MED8,TRIM28,0.8376803085210218
6948,MED17,ELOA,0.8376666929925011
7100,INTS8,EP400,0.8376649128648405
13615,ENY2,INTS2,0.8376413007317459
10943,RUVBL2,AFF4,0.8375950955554228
4850,BRM,GTF2F1,0.8375905087645018
2303,PAF1,AFF4,0.8375869394102449
14710,INTS9,GTF2E1,0.8375735043221075
11586,SMARCAD1,MED7,0.8375616847855895
4529,MED8,POLR2C,0.8375528351800942
13794,INTS5,TRRAP,0.8375513037015136
18320,BAF250B,CXXC1,0.8375066618711413
21001,CCNT1,ELL,0.8374998796280422
1678,NELFA,CREBBP,0.8374175605342108
17392,MED28,CCNH,0.8373941844546312
12058,MED7,NELFB,0.8373726866821095
8167,ARID4B,TRIM28,0.8373136394032205
8184,ARID4B,POLR2H,0.8373040338579565
1935,ERCC3,MED14,0.8373000502562492
7537,SMARCE1,MED15,0.8372988029619886
12761,HUWE1,CDK7,0.8372802137724457
8969,CCNT2,GTF2E2,0.837257715439815
2285,PAF1,ARID2,0.837249183522912
3375,KAT5,MED14,0.837242376140252
13232,BAF45D,KAT8,0.837225302429549
16866,BCL7C,BAF53A,0.8372146794232648
8429,SETD1B,GTF2E2,0.8372137501581153
2339,PAF1,POLR2G,0.8372053875836548
16327,CCNK,UBE2A,0.837182466620389
12130,TRIM28,HUWE1,0.8371755244095235
1851,ERCC3,GTF2A1,0.8371658816298149
7325,NELFE,ARID2,0.8371502043844989
6979,MED17,GTF2A2,0.837112325819285
13857,INTS5,SF3B5,0.8371070374511638
2295,PAF1,MED14,0.8370916249391004
1902,ERCC3,SMARCA5,0.8370520223310501
8437,SETD1B,MED15,0.8370243240988113
17417,MED28,MLLT10,0.8370104714735989
5915,SGF29,INTS4,0.8369717176184267
4623,MED8,MED26,0.8369690883072397
28786,EP300,ASH2L,0.8369552427831414
5516,DOT1L,CCNT1,0.8368953346245314
13061,CHD1,BAF250B,0.8368688322895451
4566,MED8,MED7,0.8368565942706363
8001,SUPT20H,INTS9,0.8368459359466973
11843,BAF60A,AFF4,0.8368265305463931
1361,WDR82,BAF250B,0.8367939744149137
23196,MED6,MED24,0.8367838334492012
2628,SUPT6H,ELOA,0.8367830688658137
9855,BPTF,MED14,0.8367389784611112
8555,MED22,MED1,0.8367333249593434
4473,H2AZ,SUPT16H,0.8367309456253211
11802,BAF60A,SMARCA5,0.8366219537522407
3094,CTR9,TAF6L,0.8366107133123674
26627,MED23,MED4,0.8366075503203991
2262,PAF1,SMARCA5,0.8365993968166879
3095,CTR9,MED18,0.8364872720297475
2878,NCOA6,NELFB,0.8364623996430078
8716,INTS12,INTS5,0.8364597083739193
7424,SMARCE1,SUPT20H,0.8364589050234259
8057,SUPT20H,MLLT10,0.8364245691268064
5285,POLR2C,BAF60A,0.8363831765354617
12343,RUVBL1,MED20,0.8363612969320554
13097,CHD1,MLLT10,0.8363587809633387
11317,SETD1A,MED15,0.8363503672269315
10147,CDC73,TRIM28,0.8363353800609556
26635,MED23,MED16,0.8363244458678094
6113,DMAP1,SMARCC2,0.8363244268758011
21397,POLR2B,MED15,0.836279504579181
7148,INTS8,MED6,0.836241401475815
3667,WDR5,TRIM28,0.8362249102929428
2235,PAF1,ENY2,0.836222654614889
12856,TAF5L,INTS5,0.836198472578348
3087,CTR9,SMARCD2,0.8361862592546938
2792,NCOA6,KAT8,0.8361299065139719
2502,SF3B3,EPC1,0.8361190866406724
6777,MED19,DPY30,0.836067026813993
7008,MED17,RBBP5,0.8360145537914161
27530,NELFCD,GTF2F1,0.8360033411905821
5276,POLR2C,CDC73,0.8359812534278245
1649,NELFA,POLR2C,0.8359204380893669
3737,WDR5,MLLT10,0.8358995760611417
8793,INTS12,SUPT16H,0.8358979642697718
9499,BAF180,GTF2A2,0.8358710655331959
28973,CDK9,SMARCC2,0.8358599573142119
9153,INO80B,SUPT16H,0.8358251189305633
16295,CCNK,MED1,0.8358156468724869
8702,INTS12,SETD1A,0.8358053318907157
6091,DMAP1,CDK13,0.8358014079363054
21009,CCNT1,BRD9,0.8357563428901028
3876,ATXN7,MED28,0.8357438040561854
8560,MED22,KMT2A,0.835740881500854
20684,TRRAP,ARID4A,0.8357315694644839
1867,ERCC3,TRIM28,0.8357309229071564
2301,PAF1,SUPT7L,0.8357157061076023
2848,NCOA6,MED13,0.8356930960775125
5375,POLR2C,INTS4,0.8356436058957614
28245,MED24,ARID1A,0.8356265029488176
6617,MED12,MLLT10,0.835600427723798
26620,MED23,CDK9,0.8355969881660192
11773,BAF60A,BAF45D,0.8355940325434089
5895,SGF29,MED14,0.835590273103011
3861,ATXN7,INTS9,0.835584260115873
7976,SUPT20H,CDC73,0.8355745203514877
4242,SSRP1,SMARCA5,0.8355615502345535
6002,DMAP1,SETD1A,0.8355212256437121
3575,GTF2H1,INTS4,0.8354917636078666
13781,INTS5,BAF250B,0.8354858577450351
7365,NELFE,ARID1A,0.8354704572366921
6529,MED12,CCNT2,0.8354638373586634
1360,WDR82,KMT2A,0.8354433430364172
26095,KAT6A,MED16,0.835389163769285
9133,INO80B,KMT2B,0.8353805254389316
17086,MED10,ASH2L,0.8353593837560018
4576,MED8,INTS5,0.835326291460753
8948,CCNT2,MED6,0.8353082329015813
7438,SMARCE1,CREBBP,0.8352984643185638
18337,BAF250B,MED15,0.835285723227981
3120,CTR9,RUVBL2,0.8352498206542711
2613,SUPT6H,BCL7C,0.8352448227972553
15581,MED30,BAF250B,0.8352343608021107
24104,KMT2B,ARID4A,0.8352233871853028
3155,CTR9,MED1,0.8352087275341906
5994,DMAP1,BPTF,0.8351955163034159
2739,NCOA6,INTS8,0.8351770991106452
1687,NELFA,TRIM28,0.8351710150250137
11105,SMARCC1,ARID2,0.8351645140185154
1853,ERCC3,SMARCA4,0.83515431734884
5436,DOT1L,MED12,0.8351476571167201
13413,CDK12,BCL7C,0.8351341696955733
8063,SUPT20H,AFF4,0.8351304988717224
8235,ARID4B,MED14,0.8351171738044019
2810,NCOA6,CDK8,0.8351161175615446
4167,SSRP1,SMARCD2,0.8350333755563024
945,INTS1,ARID4B,0.8350102201242204
12864,TAF5L,POLR2H,0.8350069625311968
20324,CCNH,ARID4A,0.8349802805537229
13304,BAF45D,ARID4A,0.8349571338575207
4846,BRM,ASH2L,0.8348990307134435
3944,ATXN7,ARID4A,0.8348396809368804
23204,MED6,ARID4A,0.8347583248430362
1458,SUPT4H1,KAT5,0.8347350531396662
20303,CCNH,AFF4,0.8347231771716889
9487,BAF180,UBE2A,0.8347218147870312
7707,CCNC,MED23,0.8346788102348379
4212,SSRP1,CHD1,0.8346716749581773
6255,TAF6L,MED14,0.834650479079001
24816,MLLT10,MED24,0.8346292495592902
14694,INTS9,TRRAP,0.8346289465883628
10235,CDC73,INTS4,0.8346225196410243
372,SMARCB1,PAF1,0.8345677630395124
11844,BAF60A,KAT6A,0.8345626316378213
17235,MED1,MED14,0.8345007042215515
5162,WDR61,MED27,0.8344900035543705
23725,TAF12,MED11,0.8344708179660654
17407,MED28,UBE2A,0.8344701377420338
11255,SETD1A,MED1,0.8343730676025286
3289,KAT5,CCNT2,0.83436659291083
20643,TRRAP,MED26,0.8343471791165328
20507,BAF45A,MED4,0.834344731547945
9669,SMARCA4,BRD9,0.8343305541703787
7542,SMARCE1,EPC1,0.8342584449556234
4667,MED8,MED4,0.8342482228220852
13291,BAF45D,CDK13,0.834244146646653
18474,SMARCA5,TRRAP,0.8342270970921661
20856,INTS2,MED24,0.8341615290260808
10237,CDC73,MED15,0.8341481655481225
2554,SUPT6H,TAF6L,0.8340491156638339
7113,INTS8,BCL7C,0.8340134346322025
11309,SETD1A,GTF2E2,0.8339983800323018
18497,SMARCA5,MLLT10,0.8339548038202724
9537,BAF180,SF3B5,0.8339445649349568
11849,BAF60A,GTF2E2,0.8338890885849083
13421,CDK12,BAF250B,0.8338271501529994
8522,MED22,SETD1A,0.83380722436736
2672,SUPT6H,NELFCD,0.8337961215573233
2598,SUPT6H,TADA2B,0.8337804971837653
17421,MED28,SUPT7L,0.8337445485560645
410,SMARCB1,INO80B,0.8337247990045924
20870,INTS2,GTF2F1,0.8337142632185445
9714,SMARCA4,USP22,0.8337132086730656
18156,KMT2A,MED24,0.8337085442795416
14510,EP400,CDK8,0.833691499504351
13603,ENY2,MED20,0.8336802219424098
6110,DMAP1,GTF2F1,0.8336798393165902
3380,KAT5,CXXC1,0.8336760351368807
14678,INTS9,NCOA3,0.8336692095813074
3333,KAT5,BCL7C,0.8336612640181996
16905,BCL7C,ARID1A,0.8336263939906953
8748,INTS12,ELOA,0.8336131810590057
8593,MED22,KMT2B,0.8336022014425258
7076,INTS8,CDC73,0.8335802651675454
7557,SMARCE1,SF3B5,0.8335790192831138
8802,INTS12,EPC1,0.8335764353762911
2688,SUPT6H,RBBP5,0.8335153991174782
3735,WDR5,MED14,0.8335108452713266
3556,GTF2H1,SS18,0.8335085343610207
12146,TRIM28,MED30,0.8334494946552206
5834,SGF29,CDK12,0.8334338194018417
2222,PAF1,SETD1A,0.8334282502089734
11241,SETD1A,INTS9,0.8334109918353757
8512,MED22,BAF180,0.8334064472607647
18295,BAF250B,INTS2,0.8333359001714212
