,Gene,Distance from MED12,MED12 Corr,Ensembl
190,FOS,18169.149973237603,0.3609878374669218,ENSG00000170345
395,JUN,13080.335453649497,0.24839690320882557,ENSG00000177606
396,JUNB,12158.579895695055,0.31119656630164766,ENSG00000171223
921,YBX1,11946.697998191801,-0.23576231276583703,ENSG00000065978
536,NFKBIA,10593.499887666967,0.07742805477484005,ENSG00000100906
397,JUND,7790.239283231291,0.20402471501813485,ENSG00000130522
420,KLF6,6790.541287703065,0.06598051257798139,ENSG00000067082
191,FOSB,6005.424279765752,0.22398426848786193,ENSG00000125740
72,CEBPD,5758.262656392117,0.18027926824289633,ENSG00000221869
923,YBX3,5329.390254053459,-0.028711687635438826,ENSG00000060138
151,ELF3,5150.730069611491,0.01554103801853134,ENSG00000163435
144,EGR1,4683.285509127114,0.18451028704019135,ENSG00000120738
568,NPAS3,4263.36234561408,-0.17461062618792642,ENSG00000151322
317,HOPX,4199.718010771676,-0.05618655610644349,ENSG00000171476
897,TSC22D3,4140.403195342212,0.10246913917984463,ENSG00000157514
29,ATF3,4050.167376788273,0.1380842201262834,ENSG00000162772
365,ID2,3807.5713401064468,0.2303973958561093,ENSG00000115738
364,ID1,3774.9389955335696,0.10942975035138668,ENSG00000125968
803,ST18,3772.439692029549,-0.11895090788256361,ENSG00000147488
920,XBP1,3765.804896698713,0.034199149981270334,ENSG00000100219
940,ZBTB20,3543.350417331032,-0.20315572906783153,ENSG00000181722
595,NRL,3514.4625165165726,-0.10397972068902615,ENSG00000129535
366,ID3,3481.422546890854,0.25590813771759263,ENSG00000117318
88,CREM,3372.4661065754244,-0.07789173986203948,ENSG00000095794
895,TSC22D1,3177.7372956240424,0.15655776576977917,ENSG00000102804
71,CEBPB,3130.8964722583846,0.29261983887720333,ENSG00000172216
281,HES1,3011.9006358112147,0.1434115285787125,ENSG00000114315
713,RORA,2916.0333777239252,-0.1938041342717807,ENSG00000069667
775,SOX4,2868.065307833837,0.09093873045791037,ENSG00000124766
588,NR4A1,2738.131956279683,0.19983687726652458,ENSG00000123358
1646,HMGN3,2580.0998701600683,0.16951474177695364,ENSG00000118418
1661,LTF,2574.75974218955,0.030955993567107248,ENSG00000012223
1617,SON,2519.189925352989,0.3529075318792328,ENSG00000159140
972,ZEB2,2434.9853839397065,-0.07067480172814875,ENSG00000169554
418,KLF4,2417.512759014935,0.12817536580256034,ENSG00000136826
416,KLF2,2396.0172641281197,0.24392487627584983,ENSG00000127528
541,NFKBIZ,2319.127243167136,0.053718965736809905,ENSG00000144802
839,TCF4,2313.1824311973323,-0.07040534089390635,ENSG00000196628
776,SOX5,2210.7035056741547,-0.2181875899218181,ENSG00000134532
441,LRRFIP1,2152.100076669298,0.04222365794622748,ENSG00000124831
527,NFE2L2,2147.3993410635107,0.14438292966685906,ENSG00000116044
419,KLF5,2106.027347875616,-0.17765732519726918,ENSG00000102554
589,NR4A2,1939.7794462257818,0.12538791648849285,ENSG00000153234
1709,ZNF706,1917.154826820202,-0.1923878498844078,ENSG00000120963
306,HMGA1,1895.092828860898,0.3399923182835768,ENSG00000137309
172,ETS2,1787.2703320986448,0.013421732571175495,ENSG00000157557
634,PITX1,1782.061811498131,-0.06352481395012945,ENSG00000069011
694,REL,1779.5144337711902,0.10192221918203655,ENSG00000162924
732,SFPQ,1774.5836356734499,0.2305740861627926,ENSG00000116560
1719,ZNF385D,1765.0598233487729,-0.18832549232641563,ENSG00000151789
1560,NME2,1753.9534685960173,-0.050618541137937054,ENSG00000243678
1598,CAMTA1,1739.9161933840378,-0.33893194582560426,ENSG00000171735
19,ARID5B,1719.7567880371923,0.320700361124277,ENSG00000150347
777,SOX6,1701.4501138734574,-0.19779305035878658,ENSG00000110693
494,MYC,1694.3472755016899,-0.007490171427456753,ENSG00000136997
529,NFIA,1692.6307778130467,-0.04251610488308866,ENSG00000162599
1493,PA2G4,1684.8360513711712,-0.047796571796834116,ENSG00000170515
457,MEF2C,1669.7015451870434,-0.08941961200395591,ENSG00000081189
833,TCF12,1631.1881528505535,-0.18636959396647718,ENSG00000140262
48,BBX,1621.1766035814849,-0.17015546172571724,ENSG00000114439
1689,DRAP1,1604.1939938797923,0.04017062960845627,ENSG00000175550
837,TCF25,1596.9438781622855,0.3002758144712293,ENSG00000141002
447,MAFB,1585.5132638991072,-0.05103175196058433,ENSG00000204103
245,GATA3,1563.9207588621618,0.45751503108188757,ENSG00000107485
30,ATF4,1496.593825992878,0.26957521144703256,ENSG00000128272
148,EHF,1492.720670453786,-0.016150414099238973,ENSG00000135373
530,NFIB,1485.143100849208,-0.0714320974439304,ENSG00000147862
860,TFDP2,1453.7337376562461,-0.20352276837603467,ENSG00000114126
537,NFKBIB,1451.8247828164392,-0.2423905710760153,ENSG00000104825
1616,GPBP1,1438.027197239329,0.04849662713393019,ENSG00000062194
375,IRF1,1418.6949566414903,0.18341465724208278,ENSG00000125347
31,ATF5,1373.3874762789997,-0.2093353239959666,ENSG00000169136
149,ELF1,1371.2493609843543,0.10866569072549515,ENSG00000120690
582,NR2E3,1336.6275921138244,-0.09738753027095724,ENSG00000278570
558,NKX3-1,1298.411167542855,-0.025684434613761964,ENSG00000167034
586,NR3C1,1293.0132907282893,-0.11917544325068148,ENSG00000113580
187,FIGLA,1291.2868271611853,-0.07929550922530061,ENSG00000183733
584,NR2F2,1279.040706936257,0.23723495289758834,ENSG00000185551
367,ID4,1266.9304637587652,-0.044919271966171785,ENSG00000172201
806,STAT3,1263.1096904069734,0.10044041099875317,ENSG00000168610
234,FOXP1,1255.8466665958867,0.0005710803066788327,ENSG00000114861
382,IRF8,1251.0852968522968,0.04790463473823243,ENSG00000140968
58,BHLHE40,1246.363089151793,0.1448544156058739,ENSG00000134107
448,MAFF,1235.7896584775258,0.40769408786717304,ENSG00000185022
1139,ZNF331,1233.8723718440249,0.15048447344975943,ENSG00000130844
1025,ZNF124,1233.2773451255805,-0.2571280554633705,ENSG00000196418
162,EPAS1,1230.9973558054457,0.3404791816998055,ENSG00000116016
