,EnsemblId,symbol
253,ENSG00000011332,DPF1
254,ENSG00000205683,DPF3
255,ENSG00000134874,DZIP1
256,ENSG00000167967,E4F1
257,ENSG00000102189,EEA1
258,ENSG00000120738,EGR1
259,ENSG00000122877,EGR2
260,ENSG00000179388,EGR3
261,ENSG00000135625,EGR4
262,ENSG00000164334,FAM170A
263,ENSG00000128610,FEZF1
264,ENSG00000153266,FEZF2
265,ENSG00000179943,FIZ1
266,ENSG00000162676,GFI1
267,ENSG00000165702,GFI1B
268,ENSG00000111087,GLI1
269,ENSG00000074047,GLI2
270,ENSG00000106571,GLI3
271,ENSG00000250571,GLI4
272,ENSG00000174332,GLIS1
273,ENSG00000126603,GLIS2
274,ENSG00000107249,GLIS3
275,ENSG00000122034,GTF3A
276,ENSG00000125812,GZF1
277,ENSG00000177374,HIC1
278,ENSG00000169635,HIC2
279,ENSG00000172273,HINFP
280,ENSG00000095951,HIVEP1
281,ENSG00000010818,HIVEP2
282,ENSG00000127124,HIVEP3
283,ENSG00000181666,HKR1
284,ENSG00000185811,IKZF1
285,ENSG00000030419,IKZF2
286,ENSG00000161405,IKZF3
287,ENSG00000123411,IKZF4
288,ENSG00000095574,IKZF5
289,ENSG00000173404,INSM1
290,ENSG00000168348,INSM2
291,ENSG00000153814,JAZF1
292,ENSG00000136504,KAT7
293,ENSG00000176407,KCMF1
294,ENSG00000151657,KIN
295,ENSG00000105610,KLF1
296,ENSG00000155090,KLF10
297,ENSG00000172059,KLF11
298,ENSG00000118922,KLF12
299,ENSG00000169926,KLF13
300,ENSG00000266265,KLF14
301,ENSG00000163884,KLF15
302,ENSG00000129911,KLF16
303,ENSG00000171872,KLF17
304,ENSG00000127528,KLF2
305,ENSG00000109787,KLF3
306,ENSG00000136826,KLF4
307,ENSG00000102554,KLF5
308,ENSG00000067082,KLF6
309,ENSG00000118263,KLF7
310,ENSG00000102349,KLF8
311,ENSG00000119138,KLF9
312,ENSG00000185513,L3MBTL1
313,ENSG00000198945,L3MBTL3
314,ENSG00000154655,L3MBTL4
315,ENSG00000103495,MAZ
316,ENSG00000085276,MECOM
317,ENSG00000188786,MTF1
318,ENSG00000085274,MYNN
319,ENSG00000196132,MYT1
320,ENSG00000186487,MYT1L
321,ENSG00000099326,MZF1
323,ENSG00000143867,OSR1
324,ENSG00000164920,OSR2
325,ENSG00000172818,OVOL1
326,ENSG00000125850,OVOL2
327,ENSG00000105261,OVOL3
328,ENSG00000198300,PEG3
329,ENSG00000181690,PLAG1
330,ENSG00000118495,PLAGL1
331,ENSG00000126003,PLAGL2
332,ENSG00000057657,PRDM1
333,ENSG00000170325,PRDM10
334,ENSG00000130711,PRDM12
335,ENSG00000112238,PRDM13
336,ENSG00000147596,PRDM14
337,ENSG00000141956,PRDM15
338,ENSG00000142611,PRDM16
339,ENSG00000116731,PRDM2
340,ENSG00000110851,PRDM4
341,ENSG00000138738,PRDM5
342,ENSG00000061455,PRDM6
343,ENSG00000152784,PRDM8
344,ENSG00000164256,PRDM9
345,ENSG00000185238,PRMT3
346,ENSG00000146587,RBAK
347,ENSG00000131381,RBSN
348,ENSG00000214022,REPIN1
349,ENSG00000084093,REST
350,ENSG00000117000,RLF
351,ENSG00000124782,RREB1
352,ENSG00000103449,SALL1
353,ENSG00000165821,SALL2
354,ENSG00000256463,SALL3
355,ENSG00000101115,SALL4
356,ENSG00000261678,SCRT1
357,ENSG00000215397,SCRT2
358,ENSG00000125520,SLC2A4RG
359,ENSG00000124216,SNAI1
360,ENSG00000019549,SNAI2
361,ENSG00000185669,SNAI3
362,ENSG00000185591,SP1
363,ENSG00000167182,SP2
364,ENSG00000172845,SP3
365,ENSG00000105866,SP4
366,ENSG00000204335,SP5
367,ENSG00000189120,SP6
368,ENSG00000170374,SP7
369,ENSG00000164651,SP8
370,ENSG00000217236,SP9
371,ENSG00000147488,ST18
372,ENSG00000135148,TRAFD1
373,ENSG00000179981,TSHZ1
374,ENSG00000182463,TSHZ2
375,ENSG00000121297,TSHZ3
376,ENSG00000136451,VEZF1
377,ENSG00000011451,WIZ
378,ENSG00000184937,WT1
379,ENSG00000100811,YY1
380,ENSG00000230797,YY2
381,ENSG00000126804,ZBTB1
382,ENSG00000205189,ZBTB10
383,ENSG00000066422,ZBTB11
384,ENSG00000204366,ZBTB12
385,ENSG00000198081,ZBTB14
386,ENSG00000109906,ZBTB16
387,ENSG00000116809,ZBTB17
388,ENSG00000179456,ZBTB18
389,ENSG00000181472,ZBTB2
390,ENSG00000181722,ZBTB20
391,ENSG00000173276,ZBTB21
392,ENSG00000236104,ZBTB22
393,ENSG00000089775,ZBTB25
394,ENSG00000171448,ZBTB26
395,ENSG00000185670,ZBTB3
396,ENSG00000011590,ZBTB32
397,ENSG00000177485,ZBTB33
398,ENSG00000177125,ZBTB34
399,ENSG00000185278,ZBTB37
400,ENSG00000177311,ZBTB38
401,ENSG00000166860,ZBTB39
402,ENSG00000174282,ZBTB4
403,ENSG00000184677,ZBTB40
404,ENSG00000177888,ZBTB41
405,ENSG00000179627,ZBTB42
406,ENSG00000169155,ZBTB43
407,ENSG00000196323,ZBTB44
408,ENSG00000119574,ZBTB45
409,ENSG00000130584,ZBTB46
410,ENSG00000114853,ZBTB47
411,ENSG00000204859,ZBTB48
412,ENSG00000168826,ZBTB49
413,ENSG00000168795,ZBTB5
414,ENSG00000186130,ZBTB6
415,ENSG00000178951,ZBTB7A
416,ENSG00000160685,ZBTB7B
417,ENSG00000184828,ZBTB7C
418,ENSG00000160062,ZBTB8A
419,ENSG00000273274,ZBTB8B
420,ENSG00000213588,ZBTB9
421,ENSG00000066827,ZFAT
422,ENSG00000184517,ZFP1
423,ENSG00000142065,ZFP14
424,ENSG00000198939,ZFP2
425,ENSG00000196867,ZFP28
426,ENSG00000180787,ZFP3
427,ENSG00000120784,ZFP30
428,ENSG00000136866,ZFP37
429,ENSG00000181638,ZFP41
430,ENSG00000179059,ZFP42
431,ENSG00000204644,ZFP57
432,ENSG00000196670,ZFP62
433,ENSG00000020256,ZFP64
434,ENSG00000187815,ZFP69
435,ENSG00000187801,ZFP69B
436,ENSG00000181007,ZFP82
437,ENSG00000184939,ZFP90
438,ENSG00000186660,ZFP91
439,ENSG00000189420,ZFP92
441,ENSG00000179588,ZFPM1
442,ENSG00000169946,ZFPM2
445,ENSG00000005889,ZFX
446,ENSG00000067646,ZFY
447,ENSG00000152977,ZIC1
448,ENSG00000043355,ZIC2
449,ENSG00000156925,ZIC3
450,ENSG00000174963,ZIC4
451,ENSG00000139800,ZIC5
452,ENSG00000171649,ZIK1
453,ENSG00000269699,ZIM2
454,ENSG00000141946,ZIM3
455,ENSG00000106261,ZKSCAN1
456,ENSG00000155592,ZKSCAN2
457,ENSG00000189298,ZKSCAN3
458,ENSG00000187626,ZKSCAN4
459,ENSG00000196652,ZKSCAN5
460,ENSG00000196345,ZKSCAN7
461,ENSG00000198315,ZKSCAN8
462,ENSG00000166432,ZMAT1
464,ENSG00000165061,ZMAT4
465,ENSG00000256223,ZNF10
466,ENSG00000197020,ZNF100
467,ENSG00000181896,ZNF101
469,ENSG00000196247,ZNF107
470,ENSG00000062370,ZNF112
471,ENSG00000178150,ZNF114
472,ENSG00000152926,ZNF117
473,ENSG00000164631,ZNF12
474,ENSG00000197961,ZNF121
475,ENSG00000196418,ZNF124
476,ENSG00000172262,ZNF131
477,ENSG00000131849,ZNF132
478,ENSG00000125846,ZNF133
479,ENSG00000213762,ZNF134
480,ENSG00000176293,ZNF135
481,ENSG00000196646,ZNF136
482,ENSG00000197008,ZNF138
483,ENSG00000105708,ZNF14
484,ENSG00000196387,ZNF140
485,ENSG00000131127,ZNF141
486,ENSG00000115568,ZNF142
487,ENSG00000166478,ZNF143
488,ENSG00000167635,ZNF146
489,ENSG00000163848,ZNF148
490,ENSG00000179909,ZNF154
491,ENSG00000204920,ZNF155
492,ENSG00000147117,ZNF157
493,ENSG00000170631,ZNF16
494,ENSG00000170949,ZNF160
495,ENSG00000197279,ZNF165
496,ENSG00000175787,ZNF169
497,ENSG00000186272,ZNF17
498,ENSG00000103343,ZNF174
499,ENSG00000105497,ZNF175
500,ENSG00000188629,ZNF177
501,ENSG00000154957,ZNF18
502,ENSG00000167384,ZNF180
503,ENSG00000197841,ZNF181
504,ENSG00000147118,ZNF182
505,ENSG00000096654,ZNF184
506,ENSG00000136870,ZNF189
507,ENSG00000157429,ZNF19
508,ENSG00000005801,ZNF195
509,ENSG00000186448,ZNF197
510,ENSG00000275111,ZNF2
511,ENSG00000132010,ZNF20
512,ENSG00000010539,ZNF200
513,ENSG00000166261,ZNF202
514,ENSG00000122386,ZNF205
515,ENSG00000010244,ZNF207
516,ENSG00000160321,ZNF208
517,ENSG00000121417,ZNF211
518,ENSG00000170260,ZNF212
519,ENSG00000085644,ZNF213
520,ENSG00000149050,ZNF214
521,ENSG00000149054,ZNF215
522,ENSG00000171940,ZNF217
523,ENSG00000165804,ZNF219
524,ENSG00000165512,ZNF22
525,ENSG00000159905,ZNF221
526,ENSG00000159885,ZNF222
527,ENSG00000178386,ZNF223
528,ENSG00000267680,ZNF224
529,ENSG00000256294,ZNF225
530,ENSG00000167380,ZNF226
531,ENSG00000131115,ZNF227
532,ENSG00000278318,ZNF229
533,ENSG00000167377,ZNF23
534,ENSG00000159882,ZNF230
535,ENSG00000167840,ZNF232
536,ENSG00000159915,ZNF233
537,ENSG00000263002,ZNF234
538,ENSG00000159917,ZNF235
539,ENSG00000130856,ZNF236
540,ENSG00000196793,ZNF239
541,ENSG00000172466,ZNF24
542,ENSG00000198105,ZNF248
543,ENSG00000175395,ZNF25
544,ENSG00000196150,ZNF250
545,ENSG00000198169,ZNF251
546,ENSG00000256771,ZNF253
547,ENSG00000213096,ZNF254
548,ENSG00000152454,ZNF256
549,ENSG00000197134,ZNF257
550,ENSG00000198393,ZNF26
551,ENSG00000254004,ZNF260
552,ENSG00000006194,ZNF263
553,ENSG00000083844,ZNF264
554,ENSG00000174652,ZNF266
555,ENSG00000185947,ZNF267
556,ENSG00000090612,ZNF268
557,ENSG00000198039,ZNF273
558,ENSG00000171606,ZNF274
559,ENSG00000063587,ZNF275
560,ENSG00000158805,ZNF276
561,ENSG00000198538,ZNF28
562,ENSG00000169548,ZNF280A
563,ENSG00000275004,ZNF280B
564,ENSG00000056277,ZNF280C
565,ENSG00000137871,ZNF280D
566,ENSG00000162702,ZNF281
567,ENSG00000170265,ZNF282
568,ENSG00000167637,ZNF283
569,ENSG00000186026,ZNF284
570,ENSG00000267508,ZNF285
571,ENSG00000187607,ZNF286A
572,ENSG00000249459,ZNF286B
573,ENSG00000141040,ZNF287
574,ENSG00000188994,ZNF292
575,ENSG00000170684,ZNF296
576,ENSG00000166526,ZNF3
577,ENSG00000168661,ZNF30
578,ENSG00000145908,ZNF300
579,ENSG00000089335,ZNF302
580,ENSG00000131845,ZNF304
581,ENSG00000197935,ZNF311
582,ENSG00000205903,ZNF316
583,ENSG00000130803,ZNF317
584,ENSG00000171467,ZNF318
585,ENSG00000166188,ZNF319
586,ENSG00000169740,ZNF32
587,ENSG00000182986,ZNF320
588,ENSG00000181315,ZNF322
589,ENSG00000083812,ZNF324
590,ENSG00000249471,ZNF324B
591,ENSG00000162664,ZNF326
592,ENSG00000181894,ZNF329
593,ENSG00000130844,ZNF331
594,ENSG00000160961,ZNF333
595,ENSG00000198185,ZNF334
596,ENSG00000198026,ZNF335
597,ENSG00000130684,ZNF337
598,ENSG00000189180,ZNF33A
599,ENSG00000196693,ZNF33B
600,ENSG00000196378,ZNF34
601,ENSG00000131061,ZNF341
602,ENSG00000088876,ZNF343
603,ENSG00000251247,ZNF345
604,ENSG00000113761,ZNF346
605,ENSG00000197937,ZNF347
606,ENSG00000169981,ZNF35
607,ENSG00000256683,ZNF350
608,ENSG00000169131,ZNF354A
609,ENSG00000178338,ZNF354B
610,ENSG00000177932,ZNF354C
612,ENSG00000198816,ZNF358
613,ENSG00000160094,ZNF362
614,ENSG00000138311,ZNF365
615,ENSG00000178175,ZNF366
616,ENSG00000165244,ZNF367
617,ENSG00000075407,ZNF37A
618,ENSG00000161298,ZNF382
619,ENSG00000188283,ZNF383
620,ENSG00000126746,ZNF384
621,ENSG00000161642,ZNF385A
622,ENSG00000144331,ZNF385B
623,ENSG00000187595,ZNF385C
624,ENSG00000151789,ZNF385D
625,ENSG00000124613,ZNF391
626,ENSG00000160908,ZNF394
627,ENSG00000186918,ZNF395
628,ENSG00000186496,ZNF396
629,ENSG00000186812,ZNF397
630,ENSG00000197024,ZNF398
631,ENSG00000176222,ZNF404
632,ENSG00000215421,ZNF407
633,ENSG00000175213,ZNF408
634,ENSG00000147124,ZNF41
635,ENSG00000119725,ZNF410
636,ENSG00000133250,ZNF414
637,ENSG00000170954,ZNF415
638,ENSG00000083817,ZNF416
639,ENSG00000173480,ZNF417
640,ENSG00000196724,ZNF418
641,ENSG00000105136,ZNF419
642,ENSG00000197050,ZNF420
643,ENSG00000102935,ZNF423
644,ENSG00000204947,ZNF425
645,ENSG00000130818,ZNF426
646,ENSG00000131116,ZNF428
647,ENSG00000197013,ZNF429
648,ENSG00000198521,ZNF43
649,ENSG00000118620,ZNF430
650,ENSG00000196705,ZNF431
651,ENSG00000256087,ZNF432
652,ENSG00000197647,ZNF433
653,ENSG00000125945,ZNF436
654,ENSG00000183621,ZNF438
655,ENSG00000171291,ZNF439
656,ENSG00000197857,ZNF44
657,ENSG00000171295,ZNF440
658,ENSG00000197044,ZNF441
659,ENSG00000198342,ZNF442
660,ENSG00000180855,ZNF443
661,ENSG00000167685,ZNF444
662,ENSG00000185219,ZNF445
663,ENSG00000083838,ZNF446
664,ENSG00000173275,ZNF449
665,ENSG00000124459,ZNF45
666,ENSG00000112200,ZNF451
667,ENSG00000178187,ZNF454
668,ENSG00000197714,ZNF460
669,ENSG00000197808,ZNF461
670,ENSG00000148143,ZNF462
671,ENSG00000181444,ZNF467
672,ENSG00000204604,ZNF468
673,ENSG00000225614,ZNF469
674,ENSG00000197016,ZNF470
675,ENSG00000196263,ZNF471
676,ENSG00000142528,ZNF473
677,ENSG00000164185,ZNF474
678,ENSG00000185177,ZNF479
679,ENSG00000180035,ZNF48
680,ENSG00000198464,ZNF480
681,ENSG00000173258,ZNF483
682,ENSG00000127081,ZNF484
683,ENSG00000198298,ZNF485
684,ENSG00000256229,ZNF486
685,ENSG00000243660,ZNF487
686,ENSG00000265763,ZNF488
687,ENSG00000188033,ZNF490
688,ENSG00000177599,ZNF491
689,ENSG00000229676,ZNF492
690,ENSG00000196268,ZNF493
691,ENSG00000162714,ZNF496
692,ENSG00000174586,ZNF497
693,ENSG00000103199,ZNF500
694,ENSG00000186446,ZNF501
695,ENSG00000196653,ZNF502
696,ENSG00000165655,ZNF503
697,ENSG00000081665,ZNF506
698,ENSG00000168813,ZNF507
699,ENSG00000081386,ZNF510
700,ENSG00000198546,ZNF511
701,ENSG00000196700,ZNF512B
702,ENSG00000163795,ZNF513
703,ENSG00000144026,ZNF514
704,ENSG00000101493,ZNF516
705,ENSG00000197363,ZNF517
706,ENSG00000177853,ZNF518A
707,ENSG00000178163,ZNF518B
708,ENSG00000175322,ZNF519
709,ENSG00000198795,ZNF521
710,ENSG00000203326,ZNF525
711,ENSG00000167625,ZNF526
712,ENSG00000189164,ZNF527
713,ENSG00000167555,ZNF528
714,ENSG00000186020,ZNF529
715,ENSG00000183647,ZNF530
716,ENSG00000074657,ZNF532
717,ENSG00000198633,ZNF534
718,ENSG00000198597,ZNF536
719,ENSG00000171817,ZNF540
721,ENSG00000178229,ZNF543
722,ENSG00000198131,ZNF544
723,ENSG00000187187,ZNF546
724,ENSG00000152433,ZNF547
725,ENSG00000188785,ZNF548
726,ENSG00000121406,ZNF549
727,ENSG00000251369,ZNF550
728,ENSG00000204519,ZNF551
729,ENSG00000178935,ZNF552
730,ENSG00000172006,ZNF554
731,ENSG00000186300,ZNF555
732,ENSG00000172000,ZNF556
733,ENSG00000130544,ZNF557
734,ENSG00000167785,ZNF558
735,ENSG00000188321,ZNF559
736,ENSG00000198028,ZNF560
737,ENSG00000171469,ZNF561
738,ENSG00000171466,ZNF562
739,ENSG00000188868,ZNF563
740,ENSG00000249709,ZNF564
741,ENSG00000196357,ZNF565
742,ENSG00000186017,ZNF566
743,ENSG00000189042,ZNF567
744,ENSG00000198453,ZNF568
745,ENSG00000196437,ZNF569
746,ENSG00000171970,ZNF57
747,ENSG00000171827,ZNF570
748,ENSG00000180479,ZNF571
749,ENSG00000180938,ZNF572
750,ENSG00000189144,ZNF573
751,ENSG00000105732,ZNF574
752,ENSG00000176472,ZNF575
753,ENSG00000124444,ZNF576
754,ENSG00000161551,ZNF577
755,ENSG00000258405,ZNF578
756,ENSG00000218891,ZNF579
757,ENSG00000213015,ZNF580
758,ENSG00000171425,ZNF581
759,ENSG00000018869,ZNF582
760,ENSG00000198440,ZNF583
761,ENSG00000171574,ZNF584
762,ENSG00000196967,ZNF585A
763,ENSG00000245680,ZNF585B
764,ENSG00000083828,ZNF586
765,ENSG00000198466,ZNF587
766,ENSG00000269343,ZNF587B
767,ENSG00000164048,ZNF589
768,ENSG00000166716,ZNF592
770,ENSG00000180626,ZNF594
771,ENSG00000272602,ZNF595
772,ENSG00000172748,ZNF596
773,ENSG00000167981,ZNF597
774,ENSG00000167962,ZNF598
775,ENSG00000153896,ZNF599
776,ENSG00000189190,ZNF600
777,ENSG00000196458,ZNF605
778,ENSG00000166704,ZNF606
779,ENSG00000198182,ZNF607
780,ENSG00000168916,ZNF608
781,ENSG00000180357,ZNF609
782,ENSG00000167554,ZNF610
783,ENSG00000213020,ZNF611
784,ENSG00000176024,ZNF613
785,ENSG00000142556,ZNF614
786,ENSG00000197619,ZNF615
787,ENSG00000204611,ZNF616
788,ENSG00000157657,ZNF618
789,ENSG00000177873,ZNF619
790,ENSG00000177842,ZNF620
791,ENSG00000172888,ZNF621
793,ENSG00000183309,ZNF623
794,ENSG00000197566,ZNF624
795,ENSG00000257591,ZNF625
796,ENSG00000188171,ZNF626
797,ENSG00000198551,ZNF627
798,ENSG00000197483,ZNF628
799,ENSG00000102870,ZNF629
800,ENSG00000221994,ZNF630
801,ENSG00000121864,ZNF639
802,ENSG00000167528,ZNF641
803,ENSG00000122482,ZNF644
804,ENSG00000175809,ZNF645
805,ENSG00000167395,ZNF646
806,ENSG00000179930,ZNF648
807,ENSG00000198093,ZNF649
808,ENSG00000198740,ZNF652
809,ENSG00000175105,ZNF654
810,ENSG00000197343,ZNF655
811,ENSG00000274349,ZNF658
812,ENSG00000160229,ZNF66
813,ENSG00000144792,ZNF660
814,ENSG00000182983,ZNF662
815,ENSG00000179195,ZNF664
816,ENSG00000197497,ZNF665
817,ENSG00000198046,ZNF667
818,ENSG00000167394,ZNF668
819,ENSG00000188295,ZNF669
820,ENSG00000277462,ZNF670
821,ENSG00000083814,ZNF671
822,ENSG00000171161,ZNF672
823,ENSG00000251192,ZNF674
824,ENSG00000197372,ZNF675
825,ENSG00000196109,ZNF676
826,ENSG00000197928,ZNF677
827,ENSG00000181450,ZNF678
828,ENSG00000197123,ZNF679
829,ENSG00000173041,ZNF680
830,ENSG00000196172,ZNF681
831,ENSG00000197124,ZNF682
832,ENSG00000176083,ZNF683
833,ENSG00000117010,ZNF684
834,ENSG00000143373,ZNF687
835,ENSG00000229809,ZNF688
836,ENSG00000156853,ZNF689
837,ENSG00000198429,ZNF69
838,ENSG00000164011,ZNF691
839,ENSG00000171163,ZNF692
840,ENSG00000197472,ZNF695
841,ENSG00000185730,ZNF696
842,ENSG00000143067,ZNF697
843,ENSG00000196110,ZNF699
844,ENSG00000147789,ZNF7
845,ENSG00000187792,ZNF70
846,ENSG00000196757,ZNF700
847,ENSG00000167562,ZNF701
848,ENSG00000183779,ZNF703
849,ENSG00000164684,ZNF704
850,ENSG00000196946,ZNF705A
851,ENSG00000215356,ZNF705B
852,ENSG00000215343,ZNF705D
853,ENSG00000214534,ZNF705E
854,ENSG00000215372,ZNF705G
855,ENSG00000120963,ZNF706
856,ENSG00000181135,ZNF707
857,ENSG00000182141,ZNF708
858,ENSG00000242852,ZNF709
859,ENSG00000197951,ZNF71
860,ENSG00000140548,ZNF710
861,ENSG00000147180,ZNF711
862,ENSG00000178665,ZNF713
863,ENSG00000160352,ZNF714
864,ENSG00000182111,ZNF716
865,ENSG00000227124,ZNF717
