,0
412,ZIC2
413,ZIC3
414,ZIC4
415,ZIC5
416,ZIK1
417,ZIM2
418,ZIM3
419,ZKSCAN1
420,ZKSCAN2
421,ZKSCAN3
422,ZKSCAN4
423,ZKSCAN5
424,ZKSCAN7
425,ZKSCAN8
426,ZMAT1
427,ZMAT4
428,ZNF10
429,ZNF100
430,ZNF101
431,ZNF107
432,ZNF112
433,ZNF114
434,ZNF117
435,ZNF12
436,ZNF121
437,ZNF124
438,ZNF131
439,ZNF132
440,ZNF133
441,ZNF134
442,ZNF135
443,ZNF136
444,ZNF138
445,ZNF14
446,ZNF140
447,ZNF141
448,ZNF142
449,ZNF143
450,ZNF146
451,ZNF148
452,ZNF154
453,ZNF155
454,ZNF157
455,ZNF16
456,ZNF160
457,ZNF165
458,ZNF169
459,ZNF17
460,ZNF174
461,ZNF175
462,ZNF177
463,ZNF18
464,ZNF180
465,ZNF181
466,ZNF182
467,ZNF184
468,ZNF189
469,ZNF19
470,ZNF195
471,ZNF197
472,ZNF2
473,ZNF20
474,ZNF200
475,ZNF202
476,ZNF205
477,ZNF207
478,ZNF208
479,ZNF211
480,ZNF212
481,ZNF213
482,ZNF214
483,ZNF215
484,ZNF217
485,ZNF219
486,ZNF22
487,ZNF221
488,ZNF222
489,ZNF223
490,ZNF224
491,ZNF225
492,ZNF226
493,ZNF227
494,ZNF229
495,ZNF23
496,ZNF230
497,ZNF232
498,ZNF233
499,ZNF234
500,ZNF235
501,ZNF236
502,ZNF239
503,ZNF24
504,ZNF248
505,ZNF25
506,ZNF250
507,ZNF251
508,ZNF253
509,ZNF254
510,ZNF256
511,ZNF257
512,ZNF26
513,ZNF260
514,ZNF263
515,ZNF264
516,ZNF266
517,ZNF267
518,ZNF268
519,ZNF273
520,ZNF274
521,ZNF275
522,ZNF276
523,ZNF28
524,ZNF280A
525,ZNF280B
526,ZNF280C
527,ZNF280D
528,ZNF281
529,ZNF282
530,ZNF283
531,ZNF284
532,ZNF285
533,ZNF286A
534,ZNF286B
535,ZNF287
536,ZNF292
537,ZNF296
538,ZNF3
539,ZNF30
540,ZNF300
541,ZNF302
542,ZNF304
543,ZNF311
544,ZNF316
545,ZNF317
546,ZNF318
547,ZNF319
548,ZNF32
549,ZNF320
550,ZNF322
551,ZNF324
552,ZNF324B
553,ZNF326
554,ZNF329
555,ZNF331
556,ZNF333
557,ZNF334
558,ZNF335
559,ZNF337
560,ZNF33A
561,ZNF33B
562,ZNF34
563,ZNF341
564,ZNF343
565,ZNF345
566,ZNF346
567,ZNF347
568,ZNF35
569,ZNF350
570,ZNF354A
571,ZNF354B
572,ZNF354C
573,ZNF358
574,ZNF362
575,ZNF365
576,ZNF366
577,ZNF367
578,ZNF37A
579,ZNF382
580,ZNF383
581,ZNF384
582,ZNF385A
583,ZNF385B
584,ZNF385C
585,ZNF385D
586,ZNF391
587,ZNF394
588,ZNF395
589,ZNF396
590,ZNF397
591,ZNF398
592,ZNF404
593,ZNF407
594,ZNF408
595,ZNF41
596,ZNF410
597,ZNF414
598,ZNF415
599,ZNF416
600,ZNF417
601,ZNF418
602,ZNF419
603,ZNF420
604,ZNF423
605,ZNF425
606,ZNF426
607,ZNF428
608,ZNF429
609,ZNF43
610,ZNF430
611,ZNF431
612,ZNF432
613,ZNF433
614,ZNF436
615,ZNF438
616,ZNF439
617,ZNF44
618,ZNF440
619,ZNF441
620,ZNF442
621,ZNF443
622,ZNF444
623,ZNF445
624,ZNF446
625,ZNF449
626,ZNF45
627,ZNF451
628,ZNF454
629,ZNF460
630,ZNF461
631,ZNF462
632,ZNF467
633,ZNF468
634,ZNF469
635,ZNF470
636,ZNF471
637,ZNF473
638,ZNF474
639,ZNF479
640,ZNF48
641,ZNF480
642,ZNF483
643,ZNF484
644,ZNF485
645,ZNF486
646,ZNF487
647,ZNF488
648,ZNF490
649,ZNF491
650,ZNF492
651,ZNF493
652,ZNF496
653,ZNF497
654,ZNF500
655,ZNF501
656,ZNF502
657,ZNF503
658,ZNF506
659,ZNF507
660,ZNF510
661,ZNF511
662,ZNF512B
663,ZNF513
664,ZNF514
665,ZNF516
666,ZNF517
667,ZNF518A
668,ZNF518B
669,ZNF519
670,ZNF521
671,ZNF525
672,ZNF526
673,ZNF527
674,ZNF528
675,ZNF529
676,ZNF530
677,ZNF532
678,ZNF534
679,ZNF536
680,ZNF540
681,ZNF543
682,ZNF544
683,ZNF546
684,ZNF547
685,ZNF548
686,ZNF549
687,ZNF550
688,ZNF551
689,ZNF552
690,ZNF554
691,ZNF555
692,ZNF556
693,ZNF557
694,ZNF558
695,ZNF559
696,ZNF560
697,ZNF561
698,ZNF562
699,ZNF563
700,ZNF564
701,ZNF565
702,ZNF566
703,ZNF567
704,ZNF568
705,ZNF569
706,ZNF57
707,ZNF570
708,ZNF571
709,ZNF572
710,ZNF573
711,ZNF574
712,ZNF575
713,ZNF576
714,ZNF577
715,ZNF578
716,ZNF579
717,ZNF580
718,ZNF581
719,ZNF582
720,ZNF583
721,ZNF584
722,ZNF585A
723,ZNF585B
724,ZNF586
725,ZNF587
726,ZNF587B
727,ZNF589
728,ZNF592
729,ZNF594
730,ZNF595
731,ZNF596
732,ZNF597
733,ZNF598
734,ZNF599
735,ZNF600
736,ZNF605
737,ZNF606
738,ZNF607
739,ZNF608
740,ZNF609
741,ZNF610
742,ZNF611
743,ZNF613
744,ZNF614
745,ZNF615
746,ZNF616
747,ZNF618
748,ZNF619
749,ZNF620
750,ZNF621
751,ZNF623
752,ZNF624
753,ZNF625
754,ZNF626
755,ZNF627
756,ZNF628
757,ZNF629
758,ZNF630
759,ZNF639
760,ZNF641
761,ZNF644
762,ZNF645
763,ZNF646
764,ZNF648
765,ZNF649
766,ZNF652
767,ZNF654
768,ZNF655
769,ZNF658
770,ZNF66
771,ZNF660
772,ZNF662
773,ZNF664
774,ZNF665
775,ZNF667
776,ZNF668
777,ZNF669
778,ZNF670
779,ZNF671
780,ZNF672
781,ZNF674
782,ZNF675
783,ZNF676
784,ZNF677
785,ZNF678
786,ZNF679
787,ZNF680
788,ZNF681
789,ZNF682
790,ZNF683
791,ZNF684
792,ZNF687
793,ZNF688
794,ZNF689
795,ZNF69
796,ZNF691
797,ZNF692
798,ZNF695
799,ZNF696
800,ZNF697
801,ZNF699
802,ZNF7
803,ZNF70
804,ZNF700
805,ZNF701
806,ZNF703
807,ZNF704
808,ZNF705A
809,ZNF705B
810,ZNF705D
811,ZNF705E
812,ZNF705G
813,ZNF706
814,ZNF707
815,ZNF708
816,ZNF709
817,ZNF71
818,ZNF710
819,ZNF711
820,ZNF713
821,ZNF714
822,ZNF716
823,ZNF717
824,ZNF718
825,ZNF721
826,ZNF724
827,ZNF726
828,ZNF727
829,ZNF728
830,ZNF729
831,ZNF730
832,ZNF732
833,ZNF735
834,ZNF736
835,ZNF737
836,ZNF74
837,ZNF740
838,ZNF746
839,ZNF747
840,ZNF749
841,ZNF750
842,ZNF75A
843,ZNF75D
844,ZNF76
845,ZNF761
846,ZNF763
847,ZNF764
848,ZNF765
849,ZNF766
850,ZNF768
851,ZNF77
852,ZNF770
853,ZNF771
854,ZNF772
855,ZNF773
856,ZNF774
857,ZNF775
858,ZNF776
859,ZNF777
860,ZNF778
861,ZNF780A
862,ZNF780B
863,ZNF781
864,ZNF782
865,ZNF783
866,ZNF784
867,ZNF785
868,ZNF786
869,ZNF787
870,ZNF788
871,ZNF789
872,ZNF79
873,ZNF790
874,ZNF791
875,ZNF792
876,ZNF793
877,ZNF799
878,ZNF8
879,ZNF80
880,ZNF800
881,ZNF804A
882,ZNF804B
883,ZNF805
884,ZNF808
885,ZNF81
886,ZNF813
887,ZNF814
888,ZNF816
889,ZNF821
890,ZNF823
891,ZNF827
892,ZNF829
893,ZNF83
894,ZNF830
895,ZNF831
896,ZNF835
897,ZNF836
898,ZNF837
899,ZNF84
900,ZNF841
901,ZNF843
902,ZNF844
903,ZNF845
904,ZNF846
905,ZNF85
906,ZNF850
907,ZNF852
908,ZNF853
909,ZNF860
910,ZNF865
911,ZNF878
912,ZNF879
913,ZNF880
914,ZNF883
915,ZNF888
916,ZNF891
917,ZNF90
918,ZNF91
919,ZNF92
920,ZNF93
921,ZNF98
922,ZNF99
923,ZSCAN1
924,ZSCAN10
925,ZSCAN12
926,ZSCAN16
927,ZSCAN18
928,ZSCAN2
929,ZSCAN20
930,ZSCAN21
931,ZSCAN22
932,ZSCAN23
933,ZSCAN25
934,ZSCAN26
935,ZSCAN29
936,ZSCAN30
937,ZSCAN31
938,ZSCAN32
939,ZSCAN4
940,ZSCAN5A
941,ZSCAN5B
942,ZSCAN5C
943,ZSCAN9
944,ZUFSP
945,ZXDA
946,ZXDB
947,ZXDC
948,PATZ1
949,ZBTB24
950,ZNF524
951,ZNF653
952,ZNF277
953,ZNF512
954,ZEB1
955,ZEB2
956,ZFHX3
957,ZFHX4
958,TRERF1
959,ZNF541
960,NFYA
961,MBNL2
962,ZC3H8
963,ZGPAT
964,CENPB
965,CENPBD1
966,JRK
967,JRKL
968,TIGD1
969,TIGD2
970,TIGD3
971,TIGD4
972,TIGD5
973,TIGD6
974,TIGD7
975,CAMTA1
976,CAMTA2
977,LIN28A
978,LIN28B
979,YBX1
980,YBX2
981,YBX3
982,RBPJ
983,RBPJL
984,CUX1
985,CUX2
986,ONECUT1
987,ONECUT2
988,ONECUT3
989,SATB1
990,SATB2
991,CXXC1
992,CXXC4
993,CXXC5
994,DNMT1
995,FBXL19
996,KDM2A
997,KDM2B
998,TET1
999,TET3
1000,KMT2A
1001,KMT2B
1002,DMRT1
1003,DMRT2
1004,DMRT3
1005,DMRTA1
1006,DMRTA2
1007,DMRTB1
1008,DMRTC2
1009,E2F1
1010,E2F2
1011,E2F3
1012,E2F4
1013,E2F5
1014,E2F6
1015,E2F7
1016,E2F8
1017,TFDP1
1018,TFDP2
1019,TFDP3
1020,EBF1
1021,EBF2
1022,EBF3
1023,EBF4
1024,EHF
1025,ELF1
1026,ELF2
1027,ELF4
1028,ELF5
1029,ELK1
1030,ELK3
1031,ELK4
1032,ERF
1033,ERG
1034,ETS1
1035,ETS2
1036,ETV1
1037,ETV2
1038,ETV3
1039,ETV3L
1040,ETV4
1041,ETV5
1042,ETV6
1043,ETV7
1044,FEV
1045,FLI1
1046,GABPA
1047,SPDEF
1048,SPI1
1049,SPIB
1050,SPIC
1051,ELF3
1052,FLYWCH1
1053,FOXA1
1054,FOXA2
1055,FOXA3
1056,FOXB1
1057,FOXB2
1058,FOXC1
1059,FOXC2
1060,FOXD1
1061,FOXD2
1062,FOXD3
1063,FOXD4
1064,FOXD4L1
1065,FOXD4L3
1066,FOXD4L4
1067,FOXD4L5
1068,FOXD4L6
1069,FOXE1
1070,FOXE3
1071,FOXF1
1072,FOXF2
1073,FOXG1
1074,FOXH1
1075,FOXI1
1076,FOXI2
1077,FOXI3
1078,FOXJ1
1079,FOXJ2
1080,FOXJ3
1081,FOXK1
1082,FOXK2
1083,FOXL1
1084,FOXL2
1085,FOXM1
1086,FOXN1
1087,FOXN2
1088,FOXN3
1089,FOXN4
1090,FOXO1
1091,FOXO3
1092,FOXO4
1093,FOXO6
1094,FOXP1
1095,FOXP2
1096,FOXP3
1097,FOXP4
1098,FOXQ1
1099,FOXR1
1100,FOXR2
1101,FOXS1
1102,GATA1
1103,GATA2
1104,GATA3
1105,GATA4
1106,GATA5
1107,GATA6
1108,GATAD2A
1109,GATAD2B
1110,TRPS1
1111,ZGLP1
1112,GCM1
1113,GCM2
1114,GRHL1
1115,GRHL2
1116,GRHL3
1117,TFCP2
1118,TFCP2L1
1119,UBP1
1120,GTF2I
1121,GTF2IRD1
1122,GTF2IRD2
1123,GTF2IRD2B
1124,BBX
1125,CIC
1126,HBP1
1127,HMG20A
1128,HMG20B
1129,HMGN3
1130,LEF1
1131,SOX1
1132,SOX10
1133,SOX11
1134,SOX12
1135,SOX13
1136,SOX14
1137,SOX15
1138,SOX17
1139,SOX18
1140,SOX2
1141,SOX21
1142,SOX3
1143,SOX30
1144,SOX4
1145,SOX5
1146,SOX6
1147,SOX7
1148,SOX8
1149,SOX9
1150,SRY
1151,TCF7
1152,TCF7L1
1153,TCF7L2
1154,ADNP
1155,ADNP2
1156,ALX1
1157,ALX3
1158,ALX4
1159,ANHX
1160,ARGFX
1161,ARX
1162,BARHL1
1163,BARHL2
1164,BARX1
1165,BARX2
1166,BSX
1167,CDX1
1168,CDX2
1169,CDX4
1170,CRX
1171,DBX1
1172,DBX2
1173,DLX1
1174,DLX2
1175,DLX3
1176,DLX4
1177,DLX5
1178,DLX6
1179,DMBX1
1180,DPRX
1181,DRGX
1182,DUX1
1183,DUX3
1184,DUX4
1185,DUXA
1186,EMX1
1187,EMX2
1188,EN1
1189,EN2
1190,ESX1
1191,EVX1
