tissueSiteDetailId,ENSG00000156603.15,ENSG00000196235.13,ENSG00000117713.18,ENSG00000153922.10,ENSG00000167548.14
Thyroid,24.568188361408883,121.51408882082694,42.796967840735064,17.31103981623277,30.05682388973966
Testis,40.818891966759004,223.3665373961219,35.02576177285319,27.140969529085872,22.063659279778392
Small_Intestine_Terminal_Ileum,12.382727272727271,84.3463101604278,30.372406417112302,18.650673796791445,19.759828877005347
Skin_Not_Sun_Exposed_Suprapubic,18.96978973509934,79.06448675496688,29.240778145695366,15.440437086092714,21.701490066225166
Brain_Frontal_Cortex_BA9,18.651382775119618,69.39373205741627,12.35213875598086,3.882277511961723,7.773766028708135
Fallopian_Tube,16.43111111111111,103.83333333333333,34.87111111111111,23.737777777777776,24.92777777777778
Bladder,14.847857142857142,85.02047619047619,31.415714285714287,14.756428571428572,17.715761904761905
Vagina,18.00120512820513,81.51814102564103,30.997756410256407,16.569608974358975,17.84623076923077
Whole_Blood,3.950446887417219,38.50209668874172,13.207896688741721,11.941954172185431,10.046682119205299
Brain_Amygdala,10.275625,44.26171052631579,9.427105263157895,3.339748684210526,4.68192697368421
Pituitary,24.210989399293286,159.86109540636042,24.38448409893993,14.245749116607776,21.88246996466431
Minor_Salivary_Gland,14.603518518518516,70.79574074074073,26.321913580246918,10.947308641975308,16.092604938271602
Adipose_Subcutaneous,15.349642533936652,72.37582202111614,26.16296832579186,19.217690799396685,17.031194570135746
Adrenal_Gland,19.451437984496124,64.85949612403101,20.204593023255814,10.988313953488372,12.869457364341084
Heart_Atrial_Appendage,6.611438228438228,37.241846153846154,11.309114219114221,6.532722610722611,7.46355710955711
Breast_Mammary_Tissue,16.307091503267973,76.24810457516341,27.229407407407404,18.699322440087144,18.067980392156862
Stomach,11.330130919220057,62.833481894150424,22.481281337047353,11.504891364902505,14.191604456824512
Brain_Caudate_basal_ganglia,11.076235772357723,55.385,10.843378048780488,3.4405532520325206,5.796299186991869
Colon_Transverse,11.423810344827587,66.33460591133004,22.871362068965514,13.982012315270936,13.551288177339902
Brain_Cerebellum,15.191203319502074,126.60211618257262,31.289518672199172,20.99579668049792,26.726639004149376
Esophagus_Muscularis,11.057186407766991,75.74256310679611,23.144906796116505,13.021522330097088,16.19058640776699
Liver,7.176362831858407,41.15030973451328,10.123469026548674,6.5642787610619475,5.565407079646016
Muscle_Skeletal,6.244216687422167,56.55951432129515,14.446108343711083,8.326202241594022,14.27762391033624
Prostate,19.64114693877551,105.72461224489798,26.385755102040818,15.506522448979592,18.770848979591836
Pancreas,6.185149390243903,36.64326219512195,10.471173780487804,5.781304878048781,9.252228658536584
Nerve_Tibial,16.522529886914377,104.46486268174475,39.55600969305331,23.249363489499192,24.750617124394182
Brain_Hippocampus,9.765147208121824,47.217563451776655,9.044629441624364,3.5627629441624364,5.505188324873097
Spleen,14.880302904564317,89.22966804979252,37.795643153526974,20.61142323651452,23.191647302904563
Colon_Sigmoid,11.18185254691689,80.83517426273458,27.269008042895443,15.247579088471849,16.473289544235925
Brain_Anterior_cingulate_cortex_BA24,13.462732954545453,54.72977272727272,10.329636363636364,3.2007272727272724,5.955045454545455
Esophagus_Gastroesophageal_Junction,11.368744,78.97669333333333,23.538813333333334,13.954693333333333,16.537682666666665
Brain_Hypothalamus,12.24420297029703,53.22147029702971,10.790846534653467,4.263733168316832,6.135280198019801
Brain_Cortex,17.032658823529413,70.44121568627452,13.84156862745098,4.3446,9.111752941176471
Heart_Left_Ventricle,5.252897222222221,26.87901851851852,9.53736712962963,3.7354562499999995,6.069670138888888
Artery_Tibial,11.877770739064855,107.63443438914028,31.69051583710407,21.118184012066365,18.21585520361991
Uterus,18.90911267605634,108.1479577464789,38.276338028169015,22.6506338028169,30.213591549295774
Ovary,16.24041666666667,118.95222222222223,37.10633333333333,36.88783333333333,24.510733333333338
Cells_EBV-transformed_lymphocytes,16.764137931034483,110.93425287356321,50.06666666666667,29.22591954022988,19.968011494252874
Artery_Coronary,15.066120833333333,83.593,25.931916666666666,16.2892,17.248858333333335
Brain_Spinal_cord_cervical_c-1,9.075830188679245,57.850188679245285,13.11522641509434,6.171911949685534,7.098215094339622
Adipose_Visceral_Omentum,14.276434380776339,63.096025878003694,22.165499075785583,23.140046210720886,13.732351201478744
Brain_Nucleus_accumbens_basal_ganglia,14.01190650406504,59.177296747967475,11.599910569105694,3.3930886178861788,6.3934390243902435
Brain_Cerebellar_Hemisphere,15.390293023255815,128.02144186046513,28.139102325581398,20.478218604651158,22.607162790697675
Esophagus_Mucosa,17.13366666666667,62.57466666666667,28.187963963963963,10.538556756756757,15.315003603603602
Cells_Cultured_fibroblasts,30.697103174603175,86.73537698412697,25.710521825396828,16.95402182539683,20.140406746031744
Artery_Aorta,16.352194444444446,97.63409722222222,28.651712962962964,14.636562500000002,17.172907407407408
Brain_Putamen_basal_ganglia,9.91913170731707,52.32107317073171,8.899980487804878,2.9431409756097566,4.5860102439024395
Kidney_Medulla,15.5925,60.707499999999996,15.864749999999999,9.90275,9.98025
Lung,14.536884083044981,90.89032871972319,31.159377162629763,24.783346020761247,23.5594446366782
Kidney_Cortex,11.393788235294117,48.723176470588236,11.94124705882353,7.1923176470588235,8.129635294117648
Brain_Substantia_nigra,8.44564748201439,45.64719424460432,9.309215827338129,3.8354028776978426,4.687190647482014
Cervix_Endocervix,20.584000000000003,113.676,34.22500000000001,21.626,23.083
Skin_Sun_Exposed_Lower_leg,19.76635805991441,82.0096433666191,30.245406562054207,14.217995720399427,23.609097004279597
