tissueSiteDetailId,mean,median,std,count
Thyroid,30.05682388973966,30.05682388973966,7.939625317665291,653
Testis,22.063659279778392,22.063659279778392,6.089534074006021,361
Small_Intestine_Terminal_Ileum,19.759828877005347,19.759828877005347,7.744010757509842,187
Skin_Not_Sun_Exposed_Suprapubic,21.701490066225166,21.701490066225166,6.208452541108722,604
Brain_Frontal_Cortex_BA9,7.773766028708135,7.773766028708135,3.483370414667919,209
Fallopian_Tube,24.92777777777778,24.92777777777778,7.367910570361146,9
Bladder,17.715761904761905,17.715761904761905,4.713282123094488,21
Vagina,17.84623076923077,17.84623076923077,4.48368968345433,156
Whole_Blood,10.046682119205299,10.046682119205299,7.1290503057205905,755
Brain_Amygdala,4.68192697368421,4.68192697368421,2.74879935976769,152
Pituitary,21.88246996466431,21.88246996466431,6.234075534394214,283
Minor_Salivary_Gland,16.092604938271602,16.092604938271602,4.588784550008353,162
Adipose_Subcutaneous,17.031194570135746,17.031194570135746,4.474179815616968,663
Adrenal_Gland,12.869457364341084,12.869457364341084,3.826431723754429,258
Heart_Atrial_Appendage,7.46355710955711,7.46355710955711,2.5635417033706154,429
Breast_Mammary_Tissue,18.067980392156862,18.067980392156862,6.822329287575634,459
Stomach,14.191604456824512,14.191604456824512,4.8030216916029005,359
Brain_Caudate_basal_ganglia,5.796299186991869,5.796299186991869,2.983853344578208,246
Colon_Transverse,13.551288177339902,13.551288177339902,4.30117124536776,406
Brain_Cerebellum,26.726639004149376,26.726639004149376,8.200922206414173,241
Esophagus_Muscularis,16.19058640776699,16.19058640776699,4.708521897169634,515
Liver,5.565407079646016,5.565407079646016,2.304446245414064,226
Muscle_Skeletal,14.27762391033624,14.27762391033624,5.087334019668099,803
Prostate,18.770848979591836,18.770848979591836,6.7180684363861864,245
Pancreas,9.252228658536584,9.252228658536584,3.1676974912207143,328
Nerve_Tibial,24.750617124394182,24.750617124394182,5.95294972949035,619
Brain_Hippocampus,5.505188324873097,5.505188324873097,2.990831229909635,197
Spleen,23.191647302904563,23.191647302904563,7.585264356977371,241
Colon_Sigmoid,16.473289544235925,16.473289544235925,4.763746725553931,373
Brain_Anterior_cingulate_cortex_BA24,5.955045454545455,5.955045454545455,3.0263845250378263,176
Esophagus_Gastroesophageal_Junction,16.537682666666665,16.537682666666665,5.189571190824237,375
Brain_Hypothalamus,6.135280198019801,6.135280198019801,3.354762139936075,202
Brain_Cortex,9.111752941176471,9.111752941176471,3.5877810770180774,255
Heart_Left_Ventricle,6.069670138888888,6.069670138888888,3.141526363557651,432
Artery_Tibial,18.21585520361991,18.21585520361991,5.388426582765839,663
Uterus,30.213591549295774,30.213591549295774,7.428010305645359,142
Ovary,24.510733333333338,24.510733333333338,5.968502123276455,180
Cells_EBV-transformed_lymphocytes,19.968011494252874,19.968011494252874,5.896084370827292,174
Artery_Coronary,17.248858333333335,17.248858333333335,5.0917210814809195,240
Brain_Spinal_cord_cervical_c-1,7.098215094339622,7.098215094339622,3.9975315149608885,159
Adipose_Visceral_Omentum,13.732351201478744,13.732351201478744,3.744758051425822,541
Brain_Nucleus_accumbens_basal_ganglia,6.3934390243902435,6.3934390243902435,3.6245969679093855,246
Brain_Cerebellar_Hemisphere,22.607162790697675,22.607162790697675,9.300721791770668,215
Esophagus_Mucosa,15.315003603603602,15.315003603603602,4.429987889677546,555
Cells_Cultured_fibroblasts,20.140406746031744,20.140406746031744,8.427377415919576,504
Artery_Aorta,17.172907407407408,17.172907407407408,4.3394785033735825,432
Brain_Putamen_basal_ganglia,4.5860102439024395,4.5860102439024395,2.5091058860395825,205
Kidney_Medulla,9.98025,9.98025,5.636451559935559,4
Lung,23.5594446366782,23.5594446366782,6.349106113245102,578
Kidney_Cortex,8.129635294117648,8.129635294117648,5.407017672807112,85
Brain_Substantia_nigra,4.687190647482014,4.687190647482014,3.1125711465421366,139
Cervix_Endocervix,23.083,23.083,5.037717836481118,10
Skin_Sun_Exposed_Lower_leg,23.609097004279597,23.609097004279597,6.390798047831355,701
Cervix_Ectocervix,19.43888888888889,19.43888888888889,5.686864874319191,9
