tissueSiteDetailId,mean,median,std,count
Thyroid,1.9259034762633997,1.9259034762633997,1.7818951588977476,653
Testis,1.3148459833795014,1.3148459833795014,0.3562705319025829,361
Small_Intestine_Terminal_Ileum,6.880929946524065,6.880929946524065,5.9535339474181574,187
Skin_Not_Sun_Exposed_Suprapubic,23.165493377483443,23.165493377483443,9.321544786687507,604
Brain_Frontal_Cortex_BA9,3.3831775119617227,3.3831775119617227,1.5179464439876862,209
Fallopian_Tube,0.8251555555555554,0.8251555555555554,0.34377471017808264,9
Bladder,1.4746638095238094,1.4746638095238094,1.5351033197630028,21
Vagina,6.020516730769231,6.020516730769231,5.020665042722871,156
Whole_Blood,4.5922842649006625,4.5922842649006625,5.440970119340057,755
Brain_Amygdala,4.408909868421052,4.408909868421052,2.8139208316997237,152
Pituitary,0.4789690459363957,0.4789690459363957,0.3610317915537596,283
Minor_Salivary_Gland,3.060234567901235,3.060234567901235,1.6783460443198455,162
Adipose_Subcutaneous,0.7886355505279035,0.7886355505279035,0.8439192490542233,663
Adrenal_Gland,0.44942224806201553,0.44942224806201553,0.3780582982436904,258
Heart_Atrial_Appendage,0.14186286713286714,0.14186286713286714,0.17025157868077082,429
Breast_Mammary_Tissue,1.186641394335512,1.186641394335512,1.2303816031729256,459
Stomach,0.6801183844011143,0.6801183844011143,0.541786937613835,359
Brain_Caudate_basal_ganglia,11.894458130081299,11.894458130081299,8.385072101167856,246
Colon_Transverse,1.467034433497537,1.467034433497537,1.2014734553941662,406
Brain_Cerebellum,0.1038363070539419,0.1038363070539419,0.07777569262655636,241
Esophagus_Muscularis,0.17488982524271843,0.17488982524271843,0.15140634693885033,515
Liver,0.25374172566371683,0.25374172566371683,0.1758203103964586,226
Muscle_Skeletal,0.05029189290161893,0.05029189290161893,0.11157791754906651,803
Prostate,0.980686,0.980686,0.905152498378667,245
Pancreas,0.10801795731707317,0.10801795731707317,0.10880512811191113,328
Nerve_Tibial,0.3063675121163166,0.3063675121163166,0.21708524865544016,619
Brain_Hippocampus,5.336125888324874,5.336125888324874,4.541642864450379,197
Spleen,6.349954356846473,6.349954356846473,3.020681079597562,241
Colon_Sigmoid,0.2867066219839142,0.2867066219839142,0.49882573045119755,373
Brain_Anterior_cingulate_cortex_BA24,3.8651477272727277,3.8651477272727277,2.1038333266583815,176
Esophagus_Gastroesophageal_Junction,0.14693722666666667,0.14693722666666667,0.11789011053254336,375
Brain_Hypothalamus,1.3953255445544557,1.3953255445544557,1.873721138028549,202
Brain_Cortex,2.1935478431372553,2.1935478431372553,0.9343937532449534,255
Heart_Left_Ventricle,0.0540686574074074,0.0540686574074074,0.11565164827072065,432
Artery_Tibial,0.20660306184012064,0.20660306184012064,0.5422893988027266,663
Uterus,0.3298491549295774,0.3298491549295774,0.21218891182979194,142
Ovary,0.4564482222222223,0.4564482222222223,0.3121951682115168,180
Cells_EBV-transformed_lymphocytes,0.09624712643678161,0.09624712643678161,0.1370319137206714,174
Artery_Coronary,0.6598235416666666,0.6598235416666666,1.6859816191649422,240
Brain_Spinal_cord_cervical_c-1,0.6562118238993712,0.6562118238993712,0.8030369042428366,159
Adipose_Visceral_Omentum,0.8394106284658042,0.8394106284658042,0.7561674157786569,541
Brain_Nucleus_accumbens_basal_ganglia,16.152154471544716,16.152154471544716,10.35391109272124,246
Brain_Cerebellar_Hemisphere,0.15015972093023255,0.15015972093023255,0.28516181134930246,215
Esophagus_Mucosa,7.064030450450451,7.064030450450451,2.718090666803567,555
Cells_Cultured_fibroblasts,0.33849873015873017,0.33849873015873017,0.2830417335576015,504
Artery_Aorta,0.38493282407407403,0.38493282407407403,0.3759334176523355,432
Brain_Putamen_basal_ganglia,10.348739512195124,10.348739512195124,8.072374786674386,205
Kidney_Medulla,0.5947475,0.5947475,0.39187048596283697,4
Lung,2.5725155709342555,2.5725155709342555,1.7439000057044425,578
Kidney_Cortex,0.41988670588235294,0.41988670588235294,0.7635016163061412,85
Brain_Substantia_nigra,0.5712630215827338,0.5712630215827338,0.4243601490244797,139
Cervix_Endocervix,0.5914999999999999,0.5914999999999999,0.3939920532193511,10
Skin_Sun_Exposed_Lower_leg,22.620661911554922,22.620661911554922,8.89827083451199,701
Cervix_Ectocervix,1.8939222222222223,1.8939222222222223,2.8800657179144666,9
