Cofactor
CCNH
CCNK
CDC73
CDK12
CDK7
CENPE
CTD-3222D19.2
CTR9
DDX10
DDX18
DDX24
DDX27
DDX47
DDX49
DDX51
DDX55
DDX56
DHX37
EMG1
ERCC2
ERCC3
FTSJ3
GTF2A1
GTF2A2
GTF2B
GTF2E2
GTF2F2
GTF2H1
GTF2H4
HINFP
MED1
MED11
MED14
MED15
MED17
MED18
MED19
MED20
MED21
MED27
MED29
MED30
MED31
MED4
MED6
MED8
MED9
MNAT1
NAT10
NOC2L
NUF2
PAF1
POLR1B
POLR2A
POLR2B
POLR2C
POLR2D
POLR2E
POLR2F
POLR2G
POLR2H
POLR2J
POLR2L
POP7
RP11-603J24.9
RPS19BP1
RUVBL1
SKIV2L2
SSRP1
SUDS3
SUPT16H
SUPT4H1
SUPT5H
SUPT6H
TAF1
TAF1A
TAF3
TAF6
TAF7
TCP1
UTP3
WBSCR22
WDR82
DDX21
DHX33
GTF2E1
INTS8
MED12
MED24
NELFB
POLR2K
SMARCD1
SPC24
TAF10
TAF1B
TAF2
TAF5
TBP
UBA1
UBE2I
BDP1
CDK8
CTCF
CXXC1
DDB1
DDX54
ELL
EP300
GTF2F1
INTS2
INTS5
INTS7
MED16
MED25
PCNA
RP11-529K1.3
RPA1
TAF13
TAF4
TAF8
CHD1
CHMP2A
INTS10
INTS3
NELFA
TAF12
TTF1
UBA2
UBE2M
WDR61
CDK9
CTD-2545M3.6
GTF2H2
GTF2H3
INTS1
MED23
MLLT1
NELFE
NUFIP1
SIN3B
SMN2
SPC25
TAF11
TCEB3
DNA2
NELFCD
SAE1
SIN3A
SMARCA4
AFF1
CDC6
NAA15
PHF12
RPA3
RUVBL2
SAP130
SETD1B
STAT5B
TAF1C
TRIM28
WDR5
AURKB
BANP
EIF4A3
GADD45A
LEO1
MCM7
PHF5A
RNF8
SUPV3L1
ZZZ3
ATR
BRD9
HIRA
HMGN2
HUWE1
INTS9
MAZ
PRMT1
RNF20
SF3B3
ASH2L
BRD2
BTAF1
C11orf30
CARM1
CENPM
CHMP3
CHMP4B
CHRAC1
DDX19A
DDX39B
DHX8
DPF1
DPY30
FABP1
GFI1B
GLI1
GTF3C4
HEXIM1
HIF1AN
HIST2H3D
HNRNPA1L2
INTS12
KLF1
LBR
METTL20
MGEA5
NTMT1
POLE3
RNF40
RP11-212D19.4
RP11-793H13.10
RPS6KA5
SMARCB1
SMC1A
SMN1
SNRNP200
TCEB1
USP12
YY1AP1
38412
AC003002.4
AC003005.4
AC004076.9
ACIN1
ACTA1
ACTB
ACTL6A
ACTL6B
ACTR3B
ACTR5
ACTR6
ACTR8
ADA
ADAR
ADPRH
ADPRHL2
AEBP2
AFF2
AFF3
AFF4
AICDA
AIRE
AKAP1
AKAP8
ALKBH2
ALKBH3
ALKBH8
ANKRD32
AP2A1
APBB1
APITD1
APOBEC2
APOBEC3H
APOBEC4
ARID1A
ARID1B
ARID2
ARID4A
ARID4B
ARIH2
ART1
AS3MT
ASAP1
ASCC3
ASCL2
ASF1A
ASF1B
ASH1L
ASMT
ASXL1
ASXL2
ASXL3
ATAD2B
ATAT1
ATF2
ATF7IP
ATF7IP2
ATM
ATOH1
ATRX
ATXN3L
ATXN7
ATXN7L3
AURKA
BABAM1
BAHD1
BAP1
BAZ1A
BAZ1B
BAZ2A
BAZ2B
BCL11A
BCL11B
BCL6
BCL7A
BCL7B
BCL7C
BCOR
BCORL1
BLM
BMI1
BPTF
BRCA1
BRCA2
BRCC3
BRD1
BRD3
BRD4
BRD7
BRD8
BRDT
BRE
BRIP1
BRPF1
BRPF3
BRWD1
BRWD3
BUB3
C14orf93
C17orf49
C1orf85
CALCOCO1
CAMK4
CAMKMT
CBL
CBX2
CBX4
CBX5
CBX6
CBX7
CBX8
CCDC101
CCDC79
CCNT1
CCNT2
CDA
CDC34
CDC5L
CDCA2
CDCA7L
CDK13
CDK17
CDK2AP1
CDK5
CDYL
