Variant_ID,BRD7,P300,P300 KIX,P300 NCBD,P300 TAZ1,P300 TAZ2,TFIID TAF12,PCAF TAF6L
FOXN4;41,24489.17,1386.45,,81255.38,32038.10,4691.99,73676.16,10811.82
FOXO1;56,22102.84,1599.42,87182.26,70271.21,16409.20,9340.65,73676.16,10811.82
FOXO3;58,24489.17,1371.05,100569.66,75091.30,30006.68,11445.96,73676.16,10811.82
FOXO4;41,20200.03,10649.27,95038.55,64833.39,53489.15,4400.75,73676.16,10811.82
FOXO6;41,24489.17,,,65935.64,25762.82,5708.67,73676.16,10811.82
FOXR1;4,24489.17,12987.55,100569.66,88602.08,53489.15,42631.22,73676.16,10811.82
FOXR2;2,24489.17,18465.69,100569.66,88602.08,53489.15,46358.97,73676.16,10811.82
GCM1;31,24489.17,12624.95,100569.66,82639.27,53489.15,21443.78,73676.16,10811.82
GMEB2;18,24489.17,7625.77,100569.66,71278.39,39746.58,9119.96,73676.16,10811.82
GRHL1;0,21438.73,18465.69,100569.66,79975.19,53489.15,34344.10,73676.16,10811.82
GRHL2;1,24489.17,9340.06,100569.66,71803.52,53489.15,46358.97,73676.16,10811.82
GRHL3;2,24489.17,6371.48,100569.66,76308.50,53489.15,27346.95,52024.00,10811.82
HBP1;6,24489.17,5585.79,83397.19,61926.48,40151.03,8180.02,73676.16,10811.82
HLF;4,24489.17,1071.91,53413.24,80284.90,53489.15,29371.51,73676.16,10811.82
HLF;7,19346.67,,36997.87,78714.75,42424.98,22447.11,73676.16,10811.82
HOXA2;30,24489.17,13547.49,63501.81,88602.08,53489.15,15609.97,73676.16,10811.82
HOXA6;0,24489.17,18465.69,100569.66,49951.82,51342.32,19371.26,73676.16,10811.82
HOXB13;11,24489.17,10178.87,100569.66,88602.08,53489.15,29807.31,66434.33,10811.82
HSF1;38,24489.17,1767.40,100569.66,62349.27,35498.28,30909.03,73676.16,10811.82
HSF5;29,24489.17,18465.69,100569.66,70536.32,46354.84,22427.96,73676.16,10811.82
HUWE1;379,13694.71,3004.09,,68252.97,39623.62,4532.58,73676.16,10811.82
