Cofactor interactions with TF
HR
EP300
SRC
RB1
CREBBP
TBP
HDAC1
SF1
RNF14
TRIM25
INO80
AIP
TXN
RNF4
RAN
DR1
RNF2
PML
TAF2
SKI
HDAC2
CTNNB1
RNF8
BRCA1
RAF1
SMARCA4
DCC
KAT2B
NCOA3
XRCC6
MED1
TAF1
RNF6
GSK3B
BRD4
FBXW7
CTH
HDAC3
GRIP1
EWSR1
PIN1
CSNK2A1
EZH2
EZH1
CHD4
APEX1
RSF1
KDM1A
NCL
SIRT1
MDM2
HSPA8
COPS5
HDAC4
SRA1
CHD3
TRIM28
DDX5
EGFR
CDK1
NCOA6
FUS
DDX1
NCOA2
TAF4
ENG
BTRC
AES
HNRNPU
ING1
WDR5
PPARGC1A
YAP1
TPR
SIN3A
NPM1
KAT5
SUZ12
BTK
SUMO1
TRIM5
DCAF1
CDK2
TRIM27
ANKRD2
TRRAP
RING1
CRK
DAXX
NRIP1
HSPA1A
RNF20
C1D
TAF3
HNRNPD
TNIP2
PRMT1
FHL2
DHX9
HDAC5
SQSTM1
ANKRD1
RBPMS
SMARCB1
MTOR
KAT2A
TRIM24
RBM39
ACTB
FBP1
SMARCD1
SUV39H1
PHF1
SMARCA2
RBBP4
WWOX
TRIM6
RNF10
MEN1
TLE1
TP53BP1
COPS2
CTBP1
POLR2A
SMARCA5
HDAC6
TRIP4
CTBP2
HNRNPK
HCFC1
CDK9
MED23
PRMT5
TRAF6
TTF2
NLK
TRIM33
DPY30
MED14
MED4
CHD1
CCND1
TAF5
ILF2
BMI1
TAF9
SNW1
WWP2
HNRNPC
RBM15
ELP1
TAF6
ALYREF
HCK
PHF2
NSD1
KCTD1
SUPT16H
ELL
ERBB2
ACTL6A
FHL3
OGT
RUVBL1
PAXIP1
DDX17
SAP130
PLK1
VHL
MCRS1
DPF2
HIRA
MED16
MED15
MED12
MED25
HDAC7
LRPPRC
LMO2
EED
YWHAB
EAF1
MED17
NONO
CDK8
CARM1
NMI
HEXIM1
MED24
ECD
RAI1
MED7
SNIP1
RUVBL2
FBXW11
TDG
MDFI
GTF2B
ATAD2
ASH2L
PIR
PTEN
IKBKB
RBMX
BRD7
EHMT2
ING3
PSIP1
RALY
CBX3
RBX1
MED10
TOP1
PRMT6
CSNK2A2
SPEN
SMURF1
MTDH
MAGED1
SMARCD3
MAK
NACA
RBM14
CLU
DEK
TRIP6
IKBKG
DNAJB1
MED6
DNAJA3
STK3
NOTCH1
RYBP
MED26
ITCH
GNL3
SIRT7
SS18
SRSF2
RBBP5
HLTF
TLE3
TADA3
BCOR
LRIF1
TAF15
CCNC
TBL1X
MED21
CDK5
ELOB
MED20
TGFB1
ARRB1
BANP
ASCC3
BRD1
TCF20
FLNA
KMT2A
DNMT1
TCERG1
ICE1
MYBBP1A
ENO1
CHD8
NOTCH2
RNF111
XIAP
MAGEA1
ACTN4
EDF1
TAF13
CBX8
CBL
MAD2L2
CHUK
PFDN5
ACTN1
RBL1
FGFR1
C1QBP
MED13
MED9
SIN3B
SAFB
SETD7
KDM6A
TRIB3
PAF1
PELP1
TGS1
CDC73
PRPF6
EP400
RPAP2
PNRC2
BRF2
FRK
ZMYM2
THRAP3
WWP1
LRRK2
WDR77
AGO2
RBBP7
ING4
HDGF
HIST1H1B
GTF2H1
MYCBP
HIST1H1D
HIPK2
MMS19
SAP18
MED31
HABP4
SS18L1
MNAT1
ILK
AATF
CBX5
CCNT1
SMURF2
SGF29
TSG101
RUNX1T1
MYO6
MUC1
EZR
CTR9
LDB1
ASF1A
MED27
DDX39B
MED18
HIST1H1C
SIRT6
BRD8
NEDD8
CCAR2
ANP32B
XRN2
AURKB
JUP
PINK1
CHEK2
PNRC1
PCGF1
EAF2
SMARCD2
ORC2
CNOT1
SSX2
BCL3
ERBIN
LGALS9
TBL1XR1
BRD3
EPC1
KMT2D
TRIP13
SUPT3H
KDM5B
CXXC1
CCNE1
HDAC11
PPID
PA2G4
NIPBL
RHOA
CCNK
INO80B
MED22
MED8
DVL3
PIH1D1
PIM1
CHD7
PPARGC1B
MDM4
ABL1
LMO1
MTF2
L3MBTL2
BPTF
CHTOP
RPTOR
CASK
SND1
GPS2
WWTR1
ARRB2
HIF1AN
MED13L
S100A9
STRAP
MED11
RAD21
PCBD2
DDX54
MED19
BRD2
TERF2IP
NSD3
LIN54
CBFA2T3
CAVIN1
AIM2
PSPC1
PIK3R1
CNOT7
BIRC2
ERBB4
BIRC5
NOC2L
BLM
NFKBIA
DPPA4
HDAC9
ERCC3
NELFB
SLC25A2
DMAP1
ADRB2
MYCBP2
CRY1
AGO1
MED29
MORF4L1
MLLT1
SETD2
SUPT7L
DVL2
MLLT6
CHEK1
PARK7
GTF2F1
ZMYND8
JMJD1C
TRIM29
TRIM32
KDM2A
TAF6L
NUP62
CNOT10
KDM2B
TRIM37
FLII
ANP32A
CHCHD3
NAB2
TRIM11
NCOA4
DNTTIP2
CENPB
MKL1
DDX20
VEGFA
NOL11
ITGB3BP
PRDX5
NPM3
SIAH2
DAB2
PRNP
MED30
CHAF1B
MED28
SUFU
STRN3
PUF60
PPIE
HEATR1
SSBP3
CALR
MORF4L2
ATN1
HEXIM2
THOC5
PMF1
CTDP1
GTF2H2
PHIP
TRIB1
DPF1
TCEA2
FGFR2
RBFOX2
CDK7
BEX1
RBM15B
H2AFZ
NFKBID
LIN9
BRCA2
CCNH
SETD1A
CCNA2
ACTR5
RPRD1A
BTF3
PAK6
CCDC85B
CNOT9
CDKN1C
GMNN
GTF2A1
MRGBP
YAF2
REXO4
SAMD4B
PCGF2
CCDC59
FHL5
NFKBIB
CNOT2
PHF12
TDRD3
DHX33
SUPT6H
SUPT5H
LDB2
SUPT20H
HIST1H1E
TCEAL1
EGLN1
HINT1
TAF10
INSR
DHX36
KMT5A
CXXC5
ING5
VGLL4
UTP4
VGLL3
SGK1
ERCC2
EDRF1
TAF5L
HMOX1
TXNIP
HAT1
ATF7IP
BASP1
EMSY
CHD1L
TNKS
WDR61
TAF1B
POU2AF1
TAF11
S100A8
INO80E
FGF1
SIRT2
APBB1
HCFC2
HIPK3
ACTN2
KDM5A
PCBD1
KDM6B
TAB1
KDM3A
YEATS2
GTF2H3
NUP98
MKL2
TAF8
AXIN1
TCEA1
KAT6A
TCEAL4
CHD9
TGFB1I1
ZNF451
TLE2
PIK3R2
PICALM
BAZ1B
RBL2
PSEN1
DPF3
CBFA2T2
VGLL1
CAMK2A
SIRT3
CBX4
CALCOCO1
SKIL
COMMD1
BUD31
CNOT11
ESF1
ASCC1
RIPPLY1
EPC2
H2AFY2
RECQL5
CDK12
SAP30
TRIM8
ELP3
BEND3
PHF20
CASP8AP2
CDYL
PIDD1
TNIP1
SAFB2
ABRA
ZNF638
BRMS1
RTF1
TRIP11
ARHGEF5
CCNA1
GRHPR
TXLNG
ZNF703
NFATC2IP
IRF2BPL
DNMT3B
MEAF6
EHMT1
CTNND1
ICE2
NELFCD
CNOT3
PEX14
HELLS
